Procedimento;Classificação;D.V.;Descrição;Valor
4787;07.02.03.024;4;COMPONENTE PATELAR CIMENTADO / FIXACAO BIOLOGICA;"148,57"
4789;07.02.03.025;2;COMPONENTE TIBIAL DE REVISAO DE POLIETILENO;"528,50"
4788;07.02.03.026;0;COMPONENTE TIBIAL DE REVISAO METALICO CIMENTADO / FIXACAO BIOLOGICA EM CUNHA;"1.316,68"
4785;07.02.03.027;9;COMPONENTE TIBIAL PRIMARIO DE POLIETILENO;"352,96"
4784;07.02.03.028;7;COMPONENTE TIBIAL PRIMARIO METALICO CIMENTADO / FIXACAO BIOLOGICA;"854,48"
4797;07.02.03.029;5;COMPONENTE UMERAL CIMENTADO / FIXACAO BIOLOGICA;"793,25"
4800;07.02.03.030;9;COMPONENTE UMERAL CIMENTADO / FIXACAO BIOLOGICA DE REVISAO;"900,59"
4535;06.03.07.002;7;CONCENTRADO DE COMPLEXO PROTROMBINICO 500UI;"147,89"
4536;06.03.07.003;5;CONCENTRADO DE COMPLEXO PROTROMBINICO ATIVADO 250 UI;"169,91"
4534;06.03.07.004;3;CONCENTRADO DE FATOR IX DERIVADO DE PLASMA HUMANO 500 UI;"118,88"
4533;06.03.07.005;1;CONCENTRADO FATOR VIII - FRASCO DE 250 UI;"59,45"
6137;08.01.01.002;0;CONCLUSAO DA ASSISTENCIA PRE-NATAL (INCENTIVO);"0,00"
10508;01.02.01.053;6;CONCLUSAO DE PROCESSO ADMINISTRATIVO SANITARIO;"0,00"
9037;07.02.05.078;4;CONECTOR BARRA JUNCAO CERVICO TORACICA;"70,00"
4925;07.02.01.008;1;CONECTOR EM Y / RETO;"78,43"
2167;04.18.01.001;3;CONFECCAO DE FISTULA ARTERIO-VENOSA C/ ENXERTIA DE POLITETRAFLUORETILENO (PTFE);"1.453,85"
2166;04.18.01.002;1;CONFECCAO DE FISTULA ARTERIO-VENOSA C/ ENXERTO AUTOLOGO;"685,53"
2686;04.06.02.008;6;CONFECCAO DE FISTULA ARTERIOVENOSA P/ ACESSO;"0,00"
2163;04.18.01.003;0;CONFECCAO DE FISTULA ARTERIO-VENOSA P/ HEMODIALISE;"600,00"
9750;05.01.01.009;2;CONFIRMACAO DE TIPIFICACAO DE DOADOR DE MEDULA OSSEA OU DE OUTROS PRECURSORES HEMATOPOETICO - 3ª FASE;"1.300,00"
9751;05.01.02.003;9;CONFIRMACAO DE TIPIFICACAO DE RECEPTOR DE MEDULA OSSEA OU DE OUTROS PRECURSORES HEMATOPOETICOS - 3ª FASE;"1.300,00"
2176;07.02.10.004;8;CONJ.TROCA P/DPA (PACIENTE-MES C/ INSTALACAO DOMICILIAR E MANUTENCAO DA MAQUINA CICLADORA);"2.511,49"
4729;07.02.04.017;7;CONJUNTO DE ACESSO HEPATICO TRANSJUGULAR;"4.300,00"
4923;07.02.01.009;0;CONJUNTO DE CATETER DE DRENAGEM EXTERNA E/OU MPIC;"525,02"
8012;07.02.01.010;3;CONJUNTO DE ELETRODO E EXTENSAO P/ ESTIMULACAO CEREBRAL;"4.600,00"
4673;07.01.05.004;7;CONJUNTO DE PLACA E BOLSA PARA OSTOMA INTESTINAL;"18,00"
4674;07.01.06.004;2;CONJUNTO DE PLACA E BOLSA PARA UROSTOMIZADOS;"20,00"
2178;07.02.10.005;6;CONJUNTO DE TROCA P/ PACIENTE SUBMETIDO A DPA (PACIENTE-15 DIAS C/ INSTALACAO DOMICILIAR E MANUTENCAO DE MAQUINA CICLADORA);"1.255,74"
2177;07.02.10.006;4;CONJUNTO DE TROCA P/ PACIENTE SUBMETIDO A DPAC (PACIENTE-MES) CORRESPONDENTE A 120 UNIDADES;"1.893,68"
2175;07.02.10.007;2;CONJUNTO DE TROCA P/ TREINAMENTO DE PACIENTE SUBMETIDO A DPA / DPAC (9 DIAS)CORRESPONDENTE A 36 UNIDADES;"609,39"
4951;07.02.05.012;1;CONJUNTO DESCARTAVEL DE BALAO INTRA-AORTICO;"1.823,94"
4749;07.02.04.018;5;CONJUNTO DO SEIO CORONARIO;"5.382,32"
4714;07.02.05.013;0;CONJUNTO P/ AUTOTRANSFUSAO;"114,46"
4748;07.02.04.019;3;CONJUNTO P/ CIRCULACAO EXTRACORPOREA (ADULTO);"1.581,63"
4728;07.02.04.020;7;CONJUNTO P/ CIRCULACAO EXTRACORPOREA (NEONATAL);"1.881,63"
4727;07.02.04.021;5;CONJUNTO P/ CIRCULACAO EXTRACORPOREA (PEDIATRICO);"1.731,63"
4922;07.02.01.011;1;CONJUNTO P/ HIDROCEFALIA DE BAIXO PERFIL;"845,80"
4716;07.02.04.022;3;CONJUNTO P/ VALVOPLASTIA MITRAL PERCUTANEA;"4.550,00"
4926;07.02.01.012;0;CONJUNTO PADRAO P/ HIDROCEFALIA;"613,65"
7659;07.02.10.008;0;CONJUNTOS DE TROCA P/ PACIENTE SUBMETIDO A DPAC (PACIENTE/15 DIAS);"946,84"
10378;07.01.09.014;6;CONSERTO DA ANTENA DA PROTESE DE IMPLANTE COCLEAR;"0,00"
10376;07.01.09.012;0;CONSERTO DO COMPARTIMENTO/GAVETA DE BATERIAS DA PROTESE DE IMPLANTE COCLEAR;"0,00"
10381;07.01.09.017;0;CONSERTO DO CONTROLE REMOTO DA PROTESE DE IMPLANTE COCLEAR;"0,00"
10387;07.01.09.023;5;CONSERTO DO PROCESSADOR DE FALA DA PROTESE DE IMPLANTE COCLEAR;"0,00"
3945;04.09.07.011;4;CONSTRUCAO DE VAGINA;"398,05"
6125;03.01.01.001;3;CONSULTA AO PACIENTE CURADO DE TUBERCULOSE (TRATAMENTO SUPERVISIONADO);"0,00"
1351;03.01.01.002;1;CONSULTA C/ IDENTIFICACAO DE CASOS NOVOS DE TUBERCULOSE;"0,00"
1386;03.01.01.003;0;CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO BASICA (EXCETO MEDICO);"0,00"
6010;03.01.01.004;8;CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO);"6,30"
1347;03.01.01.006;4;CONSULTA MEDICA EM ATENCAO BASICA;"0,00"
1358;03.01.01.007;2;CONSULTA MEDICA EM ATENCAO ESPECIALIZADA;"10,00"
6129;03.01.01.005;6;CONSULTA MEDICA EM SAUDE DO TRABALHADOR;"10,00"
6011;03.01.01.008;0;CONSULTA P/ ACOMPANHAMENTO DE CRESCIMENTO E DESENVOLVIMENTO (PUERICULTURA);"0,00"
1354;03.01.01.009;9;CONSULTA PARA AVALIACAO CLINICA DO FUMANTE;"0,00"
8413;03.01.01.010;2;"CONSULTA PARA DIAGNOSTICO/REAVALIACAO DE GLAUCOMA (TONOMETRIA, FUNDOSCOPIA E CAMPIMETRIA)";"57,74"
1382;03.01.01.011;0;CONSULTA PRE-NATAL;"0,00"
47474;03.01.01.023;4;CONSULTA PRE-NATAL DO PARCEIRO;"0,00"
1383;03.01.01.012;9;CONSULTA PUERPERAL;"0,00"
6015;03.01.01.013;7;CONSULTA/ATENDIMENTO DOMICILIAR;"0,00"
9060;03.01.01.016;1;CONSULTA/ATENDIMENTO DOMICILIAR NA ATENCAO ESPECIALIZADA;"3,14"
1;03.01.01.017;0;CONSULTA/AVALIACAO EM PACIENTE INTERNADO;"0,00"
440;02.02.05.005;0;CONTAGEM DE ADDIS;"2,04"
4207;05.01.08.002;3;CONTAGEM DE CD4/CD3 EM PACIENTE TRANSPLANTADO;"75,00"
4216;05.04.01.001;8;CONTAGEM DE CELULAS ENDOTELIAIS DA CORNEA;"64,80"
5046;02.02.03.001;6;CONTAGEM DE LINFOCITOS B;"15,00"
396;02.02.03.002;4;CONTAGEM DE LINFOCITOS CD4/CD8;"15,00"
5044;02.02.03.003;2;CONTAGEM DE LINFOCITOS T TOTAIS;"15,00"
203;02.02.02.002;9;CONTAGEM DE PLAQUETAS;"2,73"
206;02.02.02.003;7;CONTAGEM DE RETICULOCITOS;"2,73"
642;02.02.09.005;1;CONTAGEM ESPECIFICA DE CELULAS NO LIQUOR;"1,89"
643;02.02.09.006;0;CONTAGEM GLOBAL DE CELULAS NO LIQUOR;"1,89"
10555;04.04.02.044;5;CONTENCAO DE DENTES POR SPLINTAGEM;"24,12"
10313;02.03.01.007;8;CONTROLE DE QUALIDADE DO EXAME CITOPATOLOGICO CERVICO VAGINAL;"8,96"
5016;05.03.04.001;0;COORDENACAO DE SALA CIRURGICA P/ RETIRADA DE ORGAOS E TECIDOS P/ TRANSPLANTE;"400,00"
2373;04.03.05.004;9;CORDOTOMIA / MIELOTOMIA POR RADIOFREQUENCIA;"1.988,31"
4981;07.01.07.004;8;COROA DE ACO E POLICARBOXILATO;"23,54"
4973;07.01.07.005;6;COROA PROVISORIA;"23,54"
2639;04.05.01.001;0;CORRECAO CIRURGICA DE ENTROPIO E ECTROPIO;"203,74"
2637;04.05.01.002;8;CORRECAO CIRURGICA DE EPICANTO E TELECANTO;"278,90"
2680;04.05.02.001;5;CORRECAO CIRURGICA DE ESTRABISMO (ACIMA DE 2 MUSCULOS);"1.160,45"
2480;04.04.02.003;8;CORRECAO CIRURGICA DE FISTULA ORO-NASAL / ORO-SINUSAL;"45,68"
2496;04.04.02.004;6;CORRECAO CIRURGICA DE FISTULA SALIVAR COM RETALHO;"172,63"
2625;04.05.05.007;0;CORRECAO CIRURGICA DE HERNIA DE IRIS;"259,20"
2638;04.05.04.001;6;CORRECAO CIRURGICA DE LAGOFTALMO;"282,08"
2634;04.05.02.002;3;CORRECAO CIRURGICA DO ESTRABISMO (ATE 2 MUSCULOS);"815,42"
2716;04.06.01.013;7;CORRECAO DE ANEURISMA / DISSECCAO DA AORTA TORACO-ABDOMINAL;"7.181,42"
2633;04.05.05.006;2;CORRECAO DE ASTIGMATISMO SECUNDARIO;"19,14"
2786;04.06.01.015;3;CORRECAO DE ATRESIA PULMONAR E COMUNICACAO INTERVENTRICULAR;"22.267,92"
2774;04.06.01.016;1;CORRECAO DE ATRIO UNICO;"14.685,43"
2758;04.06.01.017;0;CORRECAO DE BANDA ANOMALA DO VENTRICULO DIREITO;"10.948,62"
4127;04.14.02.004;9;CORRECAO DE BRIDAS MUSCULARES;"12,98"
2753;04.06.01.018;8;CORRECAO DE COARCTACAO DA AORTA;"5.629,58"
45845;04.06.01.133;8;CORRECAO DE COARCTACAO DA AORTA (CRIANCA E ADOLESCENTE);"10.374,38"
10512;04.06.01.124;9;CORRECAO DE COARCTACAO DA AORTA COM CEC;"3.909,37"
45863;04.06.01.151;6;CORRECAO DE COARCTACAO DA AORTA COM CEC (CRIANCA E ADOLESCENTE);"8.804,15"
2788;04.06.01.019;6;CORRECAO DE COMUNICACAO INTER-VENTRICULAR;"13.585,75"
2764;04.06.01.020;0;CORRECAO DE COMUNICACAO INTER-VENTRICULAR E INSUFICIENCIA AORTICA;"9.874,10"
2775;04.06.01.021;8;CORRECAO DE COR TRIATRIATUM;"16.557,69"
2789;04.06.01.022;6;CORRECAO DE CORONARIA ANOMALA (0 A 3 ANOS);"22.267,92"
10513;04.06.01.125;7;CORRECAO DE CORONARIA ANOMALA (19 A 110);"6.400,92"
2776;04.06.01.023;4;CORRECAO DE DRENAGEM ANOMALA DO RETORNO SISTEMICO;"9.874,10"
45846;04.06.01.134;6;CORRECAO DE DRENAGEM ANOMALA DO RETORNO SISTEMICO (CRIANCA E ADOLESCENTE);"16.557,69"
2765;04.06.01.024;2;CORRECAO DE DRENAGEM ANOMALA PARCIAL DE VEIAS PULMONARES;"9.874,10"
45847;04.06.01.135;4;CORRECAO DE DRENAGEM ANOMALA PARCIAL DE VEIAS PULMONARES (CRIANCA E ADOLESCENTE);"12.674,72"
2790;04.06.01.025;0;CORRECAO DE DRENAGEM ANOMALA TOTAL DE VEIAS PULMONARES;"24.318,83"
2791;04.06.01.026;9;CORRECAO DE DUPLA VIA DE SAIDA DO VENTRICULO DIREITO;"24.318,83"
2792;04.06.01.027;7;CORRECAO DE DUPLA VIA DE SAIDA DO VENTRICULO ESQUERDO;"24.318,83"
3883;04.09.05.002;4;CORRECAO DE EPISPADIA;"388,21"
2793;04.06.01.028;5;CORRECAO DE ESTENOSE AORTICA (0 A 3 ANOS);"20.435,86"
2782;04.06.01.029;3;CORRECAO DE ESTENOSE MITRAL CONGENITA;"12.357,51"
45848;04.06.01.136;2;CORRECAO DE ESTENOSE MITRAL CONGENITA (CRIANCA E ADOLESCENTE);"19.664,32"
2771;04.06.01.030;7;CORRECAO DE ESTENOSE SUPRA-AORTICA;"7.445,17"
45849;04.06.01.137;0;CORRECAO DE ESTENOSE SUPRA-AORTICA (CRIANCA E ADOLESCENTE);"10.948,62"
2777;04.06.01.031;5;CORRECAO DE FISTULA AORTO-CAVITARIAS;"9.874,10"
45850;04.06.01.138;9;CORRECAO DE FISTULA AORTO-CAVITARIAS (CRIANCA E ADOLESCENTE);"14.685,43"
2783;04.06.01.032;3;CORRECAO DE HIPERTROFIA SEPTAL ASSIMETRICA;"10.909,40"
45851;04.06.01.139;7;CORRECAO DE HIPERTROFIA SEPTAL ASSIMETRICA (CRIANCA E ADOLESCENTE);"18.150,46"
2794;04.06.01.033;1;CORRECAO DE HIPOPLASIA DE VENTRICULO ESQUERDO;"24.318,66"
3881;04.09.05.003;2;CORRECAO DE HIPOSPADIA (1O TEMPO);"372,96"
3882;04.09.05.004;0;CORRECAO DE HIPOSPADIA (2O TEMPO);"372,96"
2781;04.06.01.034;0;CORRECAO DE INSUFICIENCIA DA VALVULA TRICUSPIDE;"10.909,40"
45852;04.06.01.140;0;CORRECAO DE INSUFICIENCIA DA VALVULA TRICUSPIDE (CRIANCA E ADOLESCENTE);"18.150,46"
2778;04.06.01.035;8;CORRECAO DE INSUFICIENCIA MITRAL CONGENITA;"9.874,00"
45853;04.06.01.141;9;CORRECAO DE INSUFICIENCIA MITRAL CONGENITA (CRIANCA E ADOLESCENTE);"16.557,54"
2795;04.06.01.036;6;CORRECAO DE INTERRUPCAO DO ARCO AORTICO;"24.318,83"
4128;04.14.02.005;7;CORRECAO DE IRREGULARIDADES DE REBORDO ALVEOLAR;"21,92"
2766;04.06.01.038;2;CORRECAO DE JANELA AORTO-PULMONAR;"10.909,40"
2796;04.06.01.037;4;CORRECAO DE JANELA AORTO-PULMONAR;"22.446,57"
2767;04.06.01.039;0;CORRECAO DE LESOES NA TRANSPOSICAO CORRIGIDA DOS VASOS DA BASE;"18.150,46"
2749;04.06.01.040;4;CORRECAO DE PERSISTENCIA DO CANAL ARTERIAL;"3.544,78"
45854;04.06.01.142;7;CORRECAO DE PERSISTENCIA DO CANAL ARTERIAL (CRIANCA E ADOLESCENTE);"5.274,62"
2700;04.06.01.041;2;CORRECAO DE PERSISTENCIA DO CANAL ARTERIAL NO RECEM-NASCIDO;"3.544,78"
2283;04.13.04.002;0;CORRECAO DE RETRACAO CICATRICIAL VARIOS ESTAGIOS;"503,12"
2768;04.06.01.043;9;CORRECAO DE TETRALOGIA DE FALLOT E VARIANTES;"12.357,51"
2797;04.06.01.042;0;CORRECAO DE TETRALOGIA DE FALLOT E VARIANTES (CRIANCA E ADOLESCENTE);"22.446,57"
2784;04.06.01.045;5;CORRECAO DE TRANSPOSICAO DE GRANDES VASOS DA BASE;"11.865,22"
2798;04.06.01.044;7;CORRECAO DE TRANSPOSICAO DOS GRANDES VASOS DA BASE (CRIANCA E ADOLESCENTE);"24.318,83"
2799;04.06.01.046;3;CORRECAO DE TRONCO ARTERIOSO PERSISTENTE;"24.318,83"
4129;04.14.02.006;5;CORRECAO DE TUBEROSIDADE DO MAXILAR;"12,98"
2800;04.06.01.047;1;CORRECAO DE VENTRICULO UNICO;"24.318,83"
2763;04.06.01.048;0;CORRECAO DO CANAL ATRIO-VENTRICULAR (PARCIAL / INTERMEDIARIO);"9.874,10"
2787;04.06.01.049;8;CORRECAO DO CANAL ATRIO-VENTRICULAR (TOTAL);"24.318,83"
45855;04.06.01.143;5;CORRECAO DO CANAL ATRIO-VENTRICULAR PARCIAL / INTERMEDIARIO (CRIANCA E ADOLESCENTE);"14.685,43"
2914;04.06.04.015;0;CORRECAO ENDOVASCULAR DE ANEURISMA / DISSECCAO DA AORTA ABDOMINAL C/ ENDOPROTESE RETA / CONICA;"1.614,75"
2915;04.06.04.016;8;CORRECAO ENDOVASCULAR DE ANEURISMA / DISSECCAO DA AORTA ABDOMINAL E ILIACAS C/ ENDOPROTESE BIFURCADA;"1.614,76"
2913;04.06.04.017;6;CORRECAO ENDOVASCULAR DE ANEURISMA / DISSECCAO DA AORTA TORACICA C/ ENDOPROTESE RETA OU CONICA;"1.614,75"
2916;04.06.04.018;4;CORRECAO ENDOVASCULAR DE ANEURISMA / DISSECCAO DAS ILIACAS C/ ENDOPROTESE TUBULAR;"1.614,75"
2752;04.06.01.050;1;CORRECOES DE ANOMALIAS DO ARCO AORTICO;"8.019,47"
45856;04.06.01.144;3;CORRECOES DE ANOMALIAS DO ARCO AORTICO (CRIANCA E ADOLESCENTE);"12.990,42"
4010;04.12.04.001;8;COSTECTOMIA;"490,42"
3398;04.08.03.034;8;COSTOPLASTIA (3 OU MAIS COSTELAS);"492,59"
3351;04.08.03.033;0;COSTO-TRANSVERSECTOMIA;"1.171,83"
2342;04.03.03.005;6;CRANIECTOMIA POR TUMOR OSSEO;"1.500,72"
8509;04.03.01.001;2;CRANIOPLASTIA;"1.322,12"
8506;04.03.01.002;0;CRANIOTOMIA DESCOMPRESSIVA;"807,75"
8507;04.03.01.003;9;CRANIOTOMIA DESCOMPRESSIVA DA FOSSA POSTERIOR;"1.191,50"
2343;04.03.03.001;3;CRANIOTOMIA PARA BIOPSIA ENCEFALICA;"1.847,07"
2344;04.03.03.002;1;CRANIOTOMIA PARA BIOPSIA ENCEFALICA (COM TECNICA COMPLEMENTAR);"1.980,66"
2309;04.03.01.004;7;CRANIOTOMIA PARA RETIRADA DE CISTO / ABSCESSO / GRANULOMA ENCEFALICO;"2.018,51"
2310;04.03.01.005;5;CRANIOTOMIA PARA RETIRADA DE CISTO / ABSCESSO / GRANULOMA ENCEFALICO (C/ TECNICA COMPLEMENTAR);"2.144,87"
8508;04.03.01.006;3;CRANIOTOMIA PARA RETIRADA DE CORPO ESTRANHO INTRACRANIANO;"1.500,72"
2311;04.03.01.007;1;CRANIOTOMIA PARA RETIRADA DE CORPO ESTRANHO INTRACRANIANO (COM TECNICA COMPLEMENTAR);"1.980,66"
2357;04.03.03.003;0;CRANIOTOMIA PARA RETIRADA DE TUMOR CEREBRAL INCLUSIVO DA FOSSA POSTERIOR;"3.321,14"
2345;04.03.03.004;8;CRANIOTOMIA PARA RETIRADA DE TUMOR INTRACRANIANO;"1.900,97"
1961;03.09.03.004;8;CRIOCAUTERIZACAO / ELETROCOAGULACAO DE COLO DE UTERO;"11,26"
2675;04.05.04.002;4;CRIOTERAPIA DE TUMORES INTRA-OCULARES;"619,17"
2659;04.05.03.003;7;CRIOTERAPIA OCULAR;"116,00"
2986;04.07.02.011;0;CRIPTECTOMIA UNICA / MULTIPLA;"125,47"
6226;03.01.10.007;1;CUIDADOS C/ TRAQUEOSTOMIA;"0,00"
6232;03.01.10.006;3;CUIDADOS COM ESTOMAS;"0,00"
564;02.02.08.008;0;CULTURA DE BACTERIAS P/ IDENTIFICACAO;"5,62"
570;02.02.08.009;9;CULTURA DO LEITE HUMANO (POS-PASTEURIZACAO);"5,62"
573;02.02.08.010;2;CULTURA P/ HERPESVIRUS;"4,33"
6526;02.13.02.007;6;CULTURA P/ IDENTIFICACAO DO VIBRIO CHOLERAE EM ANALISE DE AGUA;"0,00"
6527;02.13.02.008;4;CULTURA P/ IDENTIFICACAO DO VIBRIO CHOLERAE EM ANALISE DE ALIMENTOS;"0,00"
569;02.02.08.011;0;CULTURA PARA BAAR;"5,63"
580;02.02.08.012;9;CULTURA PARA BACTERIAS ANAEROBICAS;"10,25"
584;02.02.08.013;7;CULTURA PARA IDENTIFICACAO DE FUNGOS;"4,19"
1415;03.07.02.002;9;CURATIVO DE DEMORA C/ OU S/ PREPARO BIOMECANICO;"0,00"
4055;04.13.01.003;1;CURATIVO EM GRANDE QUEIMADO;"43,75"
7652;04.13.01.004;0;CURATIVO EM MEDIO QUEIMADO;"31,25"
7647;04.13.01.005;8;CURATIVO EM PEQUENO QUEIMADO;"18,75"
1395;04.01.01.002;3;CURATIVO GRAU I C/ OU S/ DEBRIDAMENTO;"0,00"
6211;04.01.01.001;5;CURATIVO GRAU II C/ OU S/ DEBRIDAMENTO;"32,40"
4130;04.14.02.007;3;CURETAGEM PERIAPICAL;"21,92"
3975;04.11.02.001;3;CURETAGEM POS-ABORTAMENTO / PUERPERAL;"19,79"
3891;04.09.06.004;6;CURETAGEM SEMIOTICA C/ OU S/ DILATACAO DO COLO DO UTERO;"22,62"
3919;04.09.06.005;4;CURETAGEM UTERINA EM MOLA HIDATIFORME;"137,38"
6623;02.11.06.006;2;CURVA DIARIA DE PRESSAO OCULAR CDPO (MINIMO 3 MEDIDAS);"10,11"
20120;06.04.76.003;5;DACLATASVIR 30 MG (POR COMPRIMIDO REVESTIDO);"0,00"
14514;06.04.76.002;7;DACLATASVIR 60 MG (POR COMPRIMIDO REVESTIDO);"0,00"
4328;06.03.08.006;5;DACLIZUMABE 5 MG/ ML INJETAVEL P/ TRANSPLANTE (POR FRASCO DE 5 ML);"697,00"
730;02.04.01.001;2;DACRIOCISTOGRAFIA;"48,85"
2669;04.05.01.003;6;DACRIOCISTORRINOSTOMIA;"681,87"
9877;06.04.14.002;9;DANAZOL 100 MG (POR CAPSULA);"1,50"
9878;06.04.14.003;7;DANAZOL 200 MG (POR CAPSULA);"3,62"
30404;01.01.05.003;8;DANCA CIRCULAR/BIODANCA;"0,00"
2294;04.15.04.002;7;DEBRIDAMENTO DE FASCEITE NECROTIZANTE;"521,77"
2846;04.15.04.003;5;DEBRIDAMENTO DE ULCERA / DE TECIDOS DESVITALIZADOS;"543,08"
2685;04.15.04.004;3;DEBRIDAMENTO DE ULCERA / NECROSE;"29,86"
9821;06.04.02.001;5;DEFERASIROX 125 MG (POR COMPRIMIDO);"12,84"
9822;06.04.02.002;3;DEFERASIROX 250 MG (POR COMPRIMIDO);"27,33"
9823;06.04.02.003;1;DEFERASIROX 500 MG (POR COMPRIMIDO);"54,29"
9824;06.04.02.004;0;DEFERIPRONA 500 MG (POR COMPRIMIDO);"8,06"
2946;04.07.01.001;7;DEGASTROGASTRECTOMIA C/ OU S/ VAGOTOMIA;"787,03"
2217;02.12.02.001;3;DELEUCOCITACAO DE CONCENTRADO DE HEMACIAS;"45,00"
2216;02.12.02.002;1;DELEUCOCITACAO DE CONCENTRADO DE PLAQUETAS;"70,00"
1039;02.08.08.002;3;DEMONSTRACAO DE SEQUESTRO DE HEMACIAS PELO BACO (C/ RADIOISOTOPOS);"97,37"
861;02.04.06.002;8;DENSITOMETRIA OSSEA DUO-ENERGETICA DE COLUNA (VERTEBRAS LOMBARES E/OU FEMUR);"55,10"
8501;04.03.01.008;0;DERIVACAO RAQUE-PERITONEAL;"1.419,10"
8502;04.03.01.009;8;DERIVACAO VENTRICULAR EXTERNAR-SUBGALEAL EXTERNA;"1.085,64"
8503;04.03.01.010;1;DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE;"1.500,72"
2267;04.13.04.003;8;DERMOLIPECTOMIA (1 OU 2 MEMBROS INFERIORES);"486,92"
10241;04.13.04.025;9;DERMOLIPECTOMIA ABDOMINAL CIRCUNFERENCIAL POS CIRURGIA BARIATRICA;"1.052,20"
2265;04.13.04.004;6;DERMOLIPECTOMIA ABDOMINAL NAO ESTETICA (PLASTICA ABDOMINAL);"621,84"
4167;04.13.04.005;4;DERMOLIPECTOMIA ABDOMINAL POS-CIRURGIA BARIATRICA;"862,35"
4169;04.13.04.006;2;DERMOLIPECTOMIA BRAQUIAL POS-CIRURGIA BARIATRICA;"862,32"
4168;04.13.04.007;0;DERMOLIPECTOMIA CRURAL POS-CIRURGIA BARIATRICA;"862,35"
3438;04.08.04.010;6;DESARTICULACAO COXOFEMORAL;"1.635,28"
3121;04.08.01.007;0;DESARTICULACAO DA ARTICULACAO ESCAPULO-UMERAL;"446,09"
10226;04.16.09.012;5;DESARTICULACAO ESCAPULO-TORACICA INTERNA EM ONCOLOGIA;"4.115,05"
7564;04.08.01.008;8;DESARTICULACAO INTERESCAPULO-TORACICA;"1.135,17"
10225;04.16.09.011;7;DESARTICULACAO INTERESCAPULO-TORACICA EM ONCOLOGIA;"3.165,42"
3434;04.08.04.011;4;DESARTICULACAO INTERILIO-ABDOMINAL;"1.994,25"
1873;03.03.08.002;7;DESBASTAMENTO DE CALOSIDADE E/OU MAL PERFURANTE (DESBASTAMENTO);"1,48"
3966;04.11.01.001;8;DESCOLAMENTO MANUAL DE PLACENTA;"18,85"
7519;04.08.06.009;3;DESCOMPRESSAO COM ESVAZIAMENTO MEDULAR POR BROCAGEM / VIA CORTICOTOMIA;"705,02"
3383;04.08.03.035;6;DESCOMPRESSAO DA JUNCAO CRANIO-CERVICAL VIA TRANSORAL / RETROFARINGEA;"1.783,10"
2661;04.05.04.004;0;DESCOMPRESSAO DE NERVO OPTICO;"774,35"
2651;04.05.04.005;9;DESCOMPRESSAO DE ORBITA;"650,66"
2312;04.03.01.011;0;DESCOMPRESSAO DE ORBITA POR DOENCA OU TRAUMA;"2.133,07"
2359;04.03.04.002;7;DESCOMPRESSAO NEUROVASCULAR DE NERVOS CRANIANOS;"2.991,07"
3386;04.08.03.036;4;DESCOMPRESSAO OSSEA NA JUNCAO CRANIO-CERVICAL VIA POSTERIOR;"1.265,63"
3400;04.08.03.037;2;DESCOMPRESSAO OSSEA NA JUNCAO CRANIO-CERVICAL VIA POSTERIOR C/ DUROPLASTIA;"1.444,26"
4036;04.12.03.001;2;DESCORTICACAO PULMONAR;"2.155,36"
9825;06.04.02.005;8;DESFERROXAMINA 500 MG INJETAVEL (POR FRASCO-AMPOLA);"18,89"
8100;05.03.04.003;7;DESLOCAMENTO DE EQUIPE PROFISSIONAL P/ RETIRADA DE ORGAOS - INTERMUNICIPAL;"450,00"
8101;05.03.04.002;9;DESLOCAMENTO INTERESTADUAL DE EQUIPE PROFISSIONAL P/ RETIRADA DE ORGAOS;"900,00"
9858;06.04.10.001;9;"DESMOPRESSINA 0,1 MG/ML APLICACAO NASAL (POR FRASCO DE 2,5 ML";"66,46"
394;02.02.03.004;0;DETECCAO DE ACIDOS NUCLEICOS DO HIV-1 (QUALITATIVO);"65,00"
387;02.02.03.099;7;DETECCAO DE CLAMIDIA E GONOCOCO POR BIOLOGIA MOLECULAR;"60,00"
29975;02.02.03.125;0;DETECCAO DE RNA DO HTLV-1;"65,00"
390;02.02.03.005;9;DETECCAO DE RNA DO VIRUS DA HEPATITE C (QUALITATIVO);"96,00"
675;02.02.11.001;0;DETECCAO DE VARIANTES DA HEMOGLOBINA (DIAGNOSTICO TARDIO);"8,80"
10132;02.02.11.013;3;DETECCAO MOLECULAR DE MUTACAO EM DEFICIENCIA DE BIOTINIDASE;"66,00"
676;02.02.11.002;8;DETECCAO MOLECULAR DE MUTACAO EM HEMOGLOBINOPATIAS (CONFIRMATORIO);"66,00"
10131;02.02.11.012;5;DETECCAO MOLECULAR DE MUTACAO EM HIPERPLASIA ADRENAL CONGENITA;"66,00"
677;02.02.11.003;6;DETECCAO MOLECULAR EM FIBROSE CISTICA (CONFIRMATORIO);"66,00"
263;02.02.12.001;5;DETERMINACAO DE ANTICORPOS ANTIPLAQUETARIOS;"10,65"
124;02.02.01.002;3;DETERMINACAO DE CAPACIDADE DE FIXACAO DO FERRO;"2,01"
6564;02.13.01.001;1;DETERMINACAO DE CARGA VIRAL DO HIV POR RT-PCR;"0,00"
