CHAVE,FORMA,GRUPO,PROCEDIMENTO,SUBGRUPO
204010039,Exames radiológicos da cabeça e pescoço,Procedimentos com finalidade diagnóstica,RADIOGRAFIA BILATERAL DE ORBITAS (PA + OBLIQUAS + HIRTZ),Diagnóstico por radiologia
204010047,Exames radiológicos da cabeça e pescoço,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE ARCADA ZIGOMATICO-MALAR (AP+ OBLIQUAS),Diagnóstico por radiologia
204010055,Exames radiológicos da cabeça e pescoço,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE ARTICULACAO TEMPORO-MANDIBULAR BILATERAL,Diagnóstico por radiologia
204010063,Exames radiológicos da cabeça e pescoço,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE CAVUM (LATERAL + HIRTZ),Diagnóstico por radiologia
204010071,Exames radiológicos da cabeça e pescoço,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE CRANIO (PA + LATERAL + OBLIGUA / BRETTON + HIRTZ),Diagnóstico por radiologia
204010080,Exames radiológicos da cabeça e pescoço,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE CRANIO (PA + LATERAL),Diagnóstico por radiologia
204010098,Exames radiológicos da cabeça e pescoço,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE LARINGE,Diagnóstico por radiologia
204010101,Exames radiológicos da cabeça e pescoço,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE MASTOIDE / ROCHEDOS (BILATERAL),Diagnóstico por radiologia
204010110,Exames radiológicos da cabeça e pescoço,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE MAXILAR (PA + OBLIQUA),Diagnóstico por radiologia
204010128,Exames radiológicos da cabeça e pescoço,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE OSSOS DA FACE (MN + LATERAL + HIRTZ),Diagnóstico por radiologia
204010136,Exames radiológicos da cabeça e pescoço,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE REGIAO ORBITARIA (LOCALIZACAO DE CORPO ESTRANHO),Diagnóstico por radiologia
204010144,Exames radiológicos da cabeça e pescoço,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE SEIOS DA FACE (FN + MN + LATERAL + HIRTZ),Diagnóstico por radiologia
204010152,Exames radiológicos da cabeça e pescoço,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE SELA TURSICA (PA + LATERAL + BRETTON),Diagnóstico por radiologia
204010160,Exames radiológicos da cabeça e pescoço,Procedimentos com finalidade diagnóstica,RADIOGRAFIA OCLUSAL,Diagnóstico por radiologia
204010179,Exames radiológicos da cabeça e pescoço,Procedimentos com finalidade diagnóstica,RADIOGRAFIA PANORAMICA,Diagnóstico por radiologia
204010187,Exames radiológicos da cabeça e pescoço,Procedimentos com finalidade diagnóstica,RADIOGRAFIA PERI-APICAL INTERPROXIMAL (BITE-WING),Diagnóstico por radiologia
204010195,Exames radiológicos da cabeça e pescoço,Procedimentos com finalidade diagnóstica,SIALOGRAFIA (POR GLANDULA),Diagnóstico por radiologia
204010209,Exames radiológicos da cabeça e pescoço,Procedimentos com finalidade diagnóstica,TELERADIOGRAFIA COM TRACADOS E SEM TRACADOS,Diagnóstico por radiologia
204020018,Exames radiológicos da coluna vertebral,Procedimentos com finalidade diagnóstica,MIELOGRAFIA,Diagnóstico por radiologia
204020026,Exames radiológicos da coluna vertebral,Procedimentos com finalidade diagnóstica,PLANIGRAFIA DE COLUNA VERTEBRAL,Diagnóstico por radiologia
204020034,Exames radiológicos da coluna vertebral,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE COLUNA CERVICAL (AP + LATERAL + TO + OBLIQUAS),Diagnóstico por radiologia
204020042,Exames radiológicos da coluna vertebral,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE COLUNA CERVICAL (AP + LATERAL + TO / FLEXAO),Diagnóstico por radiologia
204020050,Exames radiológicos da coluna vertebral,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE COLUNA CERVICAL FUNCIONAL / DINAMICA,Diagnóstico por radiologia
204020069,Exames radiológicos da coluna vertebral,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE COLUNA LOMBO-SACRA,Diagnóstico por radiologia
204020077,Exames radiológicos da coluna vertebral,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE COLUNA LOMBO-SACRA (C/ OBLIQUAS),Diagnóstico por radiologia
204020085,Exames radiológicos da coluna vertebral,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE COLUNA LOMBO-SACRA FUNCIONAL / DINAMICA,Diagnóstico por radiologia
204020093,Exames radiológicos da coluna vertebral,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE COLUNA TORACICA (AP + LATERAL),Diagnóstico por radiologia
204020107,Exames radiológicos da coluna vertebral,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE COLUNA TORACO-LOMBAR,Diagnóstico por radiologia
204020115,Exames radiológicos da coluna vertebral,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE COLUNA TORACO-LOMBAR DINAMICA,Diagnóstico por radiologia
204020123,Exames radiológicos da coluna vertebral,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE REGIAO SACRO-COCCIGEA,Diagnóstico por radiologia
204020131,Exames radiológicos da coluna vertebral,Procedimentos com finalidade diagnóstica,RADIOGRAFIA PANORAMICA DE COLUNA TOTAL- TELESPONDILOGRAFIA ( P/ ESCOLIOSE),Diagnóstico por radiologia
204030013,Exames radiológicos do torax e mediastino,Procedimentos com finalidade diagnóstica,BRONCOGRAFIA UNILATERAL,Diagnóstico por radiologia
204030021,Exames radiológicos do torax e mediastino,Procedimentos com finalidade diagnóstica,DUCTOGRAFIA (POR MAMA),Diagnóstico por radiologia
204030030,Exames radiológicos do torax e mediastino,Procedimentos com finalidade diagnóstica,MAMOGRAFIA,Diagnóstico por radiologia
204030048,Exames radiológicos do torax e mediastino,Procedimentos com finalidade diagnóstica,MARCACAO PRE-CIRURGICA DE LESAO NAO PALPAVEL DE MAMA ASSOCIADA A MAMOGRAFIA,Diagnóstico por radiologia
204030056,Exames radiológicos do torax e mediastino,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE CORACAO E VASOS DA BASE (PA + LATERAL + OBLIQUA),Diagnóstico por radiologia
204030064,Exames radiológicos do torax e mediastino,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE CORACAO E VASOS DA BASE (PA + LATERAL),Diagnóstico por radiologia
204030072,Exames radiológicos do torax e mediastino,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE COSTELAS (POR HEMITORAX),Diagnóstico por radiologia
204030080,Exames radiológicos do torax e mediastino,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE ESOFAGO,Diagnóstico por radiologia
204030099,Exames radiológicos do torax e mediastino,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE ESTERNO,Diagnóstico por radiologia
204030102,Exames radiológicos do torax e mediastino,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE MEDIASTINO (PA E PERFIL),Diagnóstico por radiologia
204030110,Exames radiológicos do torax e mediastino,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE PNEUMOMEDIASTINO,Diagnóstico por radiologia
204030129,Exames radiológicos do torax e mediastino,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE TORAX (APICO-LORDORTICA),Diagnóstico por radiologia
204030137,Exames radiológicos do torax e mediastino,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE TÓRAX (PA + INSPIRAÇÃO + EXPIRAÇÃO + LATERAL),Diagnóstico por radiologia
204030145,Exames radiológicos do torax e mediastino,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE TORAX (PA + LATERAL + OBLIQUA),Diagnóstico por radiologia
204030153,Exames radiológicos do torax e mediastino,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE TORAX (PA E PERFIL),Diagnóstico por radiologia
204030161,Exames radiológicos do torax e mediastino,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE TORAX (PA PADRAO OIT),Diagnóstico por radiologia
204030170,Exames radiológicos do torax e mediastino,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE TORAX (PA),Diagnóstico por radiologia
204030188,Exames radiológicos do torax e mediastino,Procedimentos com finalidade diagnóstica,MAMOGRAFIA BILATERAL PARA RASTREAMENTO,Diagnóstico por radiologia
204040019,Exames radiológicos da cintura escapular e dos membros superiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE ANTEBRACO,Diagnóstico por radiologia
204040027,Exames radiológicos da cintura escapular e dos membros superiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE ARTICULACAO ACROMIO-CLAVICULAR,Diagnóstico por radiologia
204040035,Exames radiológicos da cintura escapular e dos membros superiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE ARTICULACAO ESCAPULO-UMERAL,Diagnóstico por radiologia
204040043,Exames radiológicos da cintura escapular e dos membros superiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE ARTICULACAO ESTERNO-CLAVICULAR,Diagnóstico por radiologia
204040051,Exames radiológicos da cintura escapular e dos membros superiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE BRACO,Diagnóstico por radiologia
204040060,Exames radiológicos da cintura escapular e dos membros superiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE CLAVICULA,Diagnóstico por radiologia
204040078,Exames radiológicos da cintura escapular e dos membros superiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE COTOVELO,Diagnóstico por radiologia
204040086,Exames radiológicos da cintura escapular e dos membros superiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE DEDOS DA MAO,Diagnóstico por radiologia
204040094,Exames radiológicos da cintura escapular e dos membros superiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE MAO,Diagnóstico por radiologia
204040108,Exames radiológicos da cintura escapular e dos membros superiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE MAO E PUNHO (P/ DETERMINACAO DE IDADE OSSEA),Diagnóstico por radiologia
204040116,Exames radiológicos da cintura escapular e dos membros superiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE ESCAPULA/OMBRO (TRES POSICOES),Diagnóstico por radiologia
204040124,Exames radiológicos da cintura escapular e dos membros superiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE PUNHO (AP + LATERAL + OBLIQUA),Diagnóstico por radiologia
204050014,Exames radiológicos do abdomen e pelve,Procedimentos com finalidade diagnóstica,CLISTER OPACO C/ DUPLO CONTRASTE,Diagnóstico por radiologia
204050022,Exames radiológicos do abdomen e pelve,Procedimentos com finalidade diagnóstica,COLANGIOGRAFIA PER-OPERATORIA,Diagnóstico por radiologia
204050030,Exames radiológicos do abdomen e pelve,Procedimentos com finalidade diagnóstica,COLANGIOGRAFIA POS-OPERATORIA,Diagnóstico por radiologia
204050049,Exames radiológicos do abdomen e pelve,Procedimentos com finalidade diagnóstica,DUODENOGRAFIA HIPOTONICA,Diagnóstico por radiologia
204050057,Exames radiológicos do abdomen e pelve,Procedimentos com finalidade diagnóstica,FISTULOGRAFIA,Diagnóstico por radiologia
204050065,Exames radiológicos do abdomen e pelve,Procedimentos com finalidade diagnóstica,HISTEROSSALPINGOGRAFIA,Diagnóstico por radiologia
204050073,Exames radiológicos do abdomen e pelve,Procedimentos com finalidade diagnóstica,PIELOGRAFIA ANTEROGRADA PERCUTANEA,Diagnóstico por radiologia
204050081,Exames radiológicos do abdomen e pelve,Procedimentos com finalidade diagnóstica,PIELOGRAFIA ASCENDENTE,Diagnóstico por radiologia
204050090,Exames radiológicos do abdomen e pelve,Procedimentos com finalidade diagnóstica,PLANIGRAFIA DE RIM C/ CONTRASTE,Diagnóstico por radiologia
204050103,Exames radiológicos do abdomen e pelve,Procedimentos com finalidade diagnóstica,PLANIGRAFIA DE RIM S/ CONTRASTE,Diagnóstico por radiologia
204050111,Exames radiológicos do abdomen e pelve,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE ABDOMEN (AP + LATERAL / LOCALIZADA),Diagnóstico por radiologia
204050120,Exames radiológicos do abdomen e pelve,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE ABDOMEN AGUDO (MINIMO DE 3 INCIDENCIAS),Diagnóstico por radiologia
204050138,Exames radiológicos do abdomen e pelve,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE ABDOMEN SIMPLES (AP),Diagnóstico por radiologia
204050146,Exames radiológicos do abdomen e pelve,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE ESTOMAGO E DUODENO,Diagnóstico por radiologia
204050154,Exames radiológicos do abdomen e pelve,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE INTESTINO DELGADO (TRANSITO),Diagnóstico por radiologia
204050162,Exames radiológicos do abdomen e pelve,Procedimentos com finalidade diagnóstica,RADIOGRAFIA P/ ESTUDO DO DELGADO C/ DUPLO CONTRASTE (ENTEROCLISE),Diagnóstico por radiologia
204050170,Exames radiológicos do abdomen e pelve,Procedimentos com finalidade diagnóstica,URETROCISTOGRAFIA,Diagnóstico por radiologia
204050189,Exames radiológicos do abdomen e pelve,Procedimentos com finalidade diagnóstica,UROGRAFIA VENOSA,Diagnóstico por radiologia
204060010,Exames radiológicos da cintura pélvica e dos membros inferiores,Procedimentos com finalidade diagnóstica,ARTROGRAFIA,Diagnóstico por radiologia
204060028,Exames radiológicos da cintura pélvica e dos membros inferiores,Procedimentos com finalidade diagnóstica,DENSITOMETRIA OSSEA DUO-ENERGETICA DE COLUNA (VERTEBRAS LOMBARES E/OU FEMUR),Diagnóstico por radiologia
204060036,Exames radiológicos da cintura pélvica e dos membros inferiores,Procedimentos com finalidade diagnóstica,ESCANOMETRIA,Diagnóstico por radiologia
204060044,Exames radiológicos da cintura pélvica e dos membros inferiores,Procedimentos com finalidade diagnóstica,PLANIGRAFIA DE OSSO - SUBSIDIARIA A OUTROS EXAMES (POR PLANO),Diagnóstico por radiologia
204060052,Exames radiológicos da cintura pélvica e dos membros inferiores,Procedimentos com finalidade diagnóstica,PLANIGRAFIA DE OSSO EM 2 PLANOS,Diagnóstico por radiologia
204060060,Exames radiológicos da cintura pélvica e dos membros inferiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE ARTICULACAO COXO-FEMORAL,Diagnóstico por radiologia
204060079,Exames radiológicos da cintura pélvica e dos membros inferiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE ARTICULACAO SACRO-ILIACA,Diagnóstico por radiologia
204060087,Exames radiológicos da cintura pélvica e dos membros inferiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE ARTICULACAO TIBIO-TARSICA,Diagnóstico por radiologia
204060095,Exames radiológicos da cintura pélvica e dos membros inferiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE BACIA,Diagnóstico por radiologia
204060109,Exames radiológicos da cintura pélvica e dos membros inferiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE CALCANEO,Diagnóstico por radiologia
204060117,Exames radiológicos da cintura pélvica e dos membros inferiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE COXA,Diagnóstico por radiologia
204060125,Exames radiológicos da cintura pélvica e dos membros inferiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE JOELHO (AP + LATERAL),Diagnóstico por radiologia
204060133,Exames radiológicos da cintura pélvica e dos membros inferiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE JOELHO OU PATELA (AP + LATERAL + AXIAL),Diagnóstico por radiologia
204060141,Exames radiológicos da cintura pélvica e dos membros inferiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE JOELHO OU PATELA (AP + LATERAL + OBLIQUA + 3 AXIAIS),Diagnóstico por radiologia
204060150,Exames radiológicos da cintura pélvica e dos membros inferiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE PE / DEDOS DO PE,Diagnóstico por radiologia
204060168,Exames radiológicos da cintura pélvica e dos membros inferiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA DE PERNA,Diagnóstico por radiologia
204060176,Exames radiológicos da cintura pélvica e dos membros inferiores,Procedimentos com finalidade diagnóstica,RADIOGRAFIA PANORAMICA DE MEMBROS INFERIORES,Diagnóstico por radiologia
205010016,Ultra-sonografias do sistema circulatório (qualquer região anatômica),Procedimentos com finalidade diagnóstica,ECOCARDIOGRAFIA DE ESTRESSE,Diagnóstico por ultrasonografia
205010024,Ultra-sonografias do sistema circulatório (qualquer região anatômica),Procedimentos com finalidade diagnóstica,ECOCARDIOGRAFIA TRANSESOFAGICA,Diagnóstico por ultrasonografia
205010032,Ultra-sonografias do sistema circulatório (qualquer região anatômica),Procedimentos com finalidade diagnóstica,ECOCARDIOGRAFIA TRANSTORACICA,Diagnóstico por ultrasonografia
205010040,Ultra-sonografias do sistema circulatório (qualquer região anatômica),Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA DOPPLER COLORIDO DE VASOS,Diagnóstico por ultrasonografia
205010059,Ultra-sonografias do sistema circulatório (qualquer região anatômica),Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA DOPPLER DE FLUXO OBSTETRICO,Diagnóstico por ultrasonografia
205020011,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,ECODOPPLER TRANSCRANIANO,Diagnóstico por ultrasonografia
205020020,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,PAQUIMETRIA ULTRASSÔNICA,Diagnóstico por ultrasonografia
205020038,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA DE ABDÔMEN SUPERIOR,Diagnóstico por ultrasonografia
205020046,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA DE ABDOMEN TOTAL,Diagnóstico por ultrasonografia
205020054,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA DE APARELHO URINÁRIO,Diagnóstico por ultrasonografia
205020062,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA DE ARTICULACAO,Diagnóstico por ultrasonografia
205020070,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA DE BOLSA ESCROTAL,Diagnóstico por ultrasonografia
205020089,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA DE GLOBO OCULAR / ORBITA (MONOCULAR),Diagnóstico por ultrasonografia
205020097,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA MAMARIA BILATERAL,Diagnóstico por ultrasonografia
205020100,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA DE PROSTATA POR VIA ABDOMINAL,Diagnóstico por ultrasonografia
205020119,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA DE PROSTATA (VIA TRANSRETAL),Diagnóstico por ultrasonografia
205020127,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA DE TIREOIDE,Diagnóstico por ultrasonografia
205020135,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA DE TORAX (EXTRACARDIACA),Diagnóstico por ultrasonografia
205020143,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA OBSTETRICA,Diagnóstico por ultrasonografia
205020151,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA OBSTETRICA C/ DOPPLER COLORIDO E PULSADO,Diagnóstico por ultrasonografia
205020160,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA PELVICA (GINECOLOGICA),Diagnóstico por ultrasonografia
205020178,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA TRANSFONTANELA,Diagnóstico por ultrasonografia
205020186,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA TRANSVAGINAL,Diagnóstico por ultrasonografia
205020194,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,MARCACAO DE LESAO PRE-CIRURGICA DE LESAO NAO PALPAVEL DE MAMA ASSOCIADA A ULTRASSONOGRAFIA,Diagnóstico por ultrasonografia
205020208,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA DE MAMA UNILATERAL PARA AVALIAÇÃO DE POSSÍVEIS COMPLICAÇÕES DE IMPLANTE DE PRÓ,Diagnóstico por ultrasonografia
205020216,Ultra-sonografias dos demais sistemas,Procedimentos com finalidade diagnóstica,ULTRASSONOGRAFIA DE MAMA BILATERAL PARA AVALIAÇÃO DE POSSÍVEIS COMPLICAÇÕES DE IMPLANTE DE PRÓT,Diagnóstico por ultrasonografia
206010010,"Tomografia da cabeça, pescoço e coluna vertebral",Procedimentos com finalidade diagnóstica,TOMOGRAFIA COMPUTADORIZADA DE COLUNA CERVICAL C/ OU S/ CONTRASTE,Diagnóstico por tomografia
206010028,"Tomografia da cabeça, pescoço e coluna vertebral",Procedimentos com finalidade diagnóstica,TOMOGRAFIA COMPUTADORIZADA DE COLUNA LOMBO-SACRA C/ OU S/ CONTRASTE,Diagnóstico por tomografia
206010036,"Tomografia da cabeça, pescoço e coluna vertebral",Procedimentos com finalidade diagnóstica,TOMOGRAFIA COMPUTADORIZADA DE COLUNA TORACICA C/ OU S/ CONTRASTE,Diagnóstico por tomografia
206010044,"Tomografia da cabeça, pescoço e coluna vertebral",Procedimentos com finalidade diagnóstica,TOMOGRAFIA COMPUTADORIZADA DE FACE / SEIOS DA FACE / ARTICULACOES TEMPORO-MANDIBULARES,Diagnóstico por tomografia
206010052,"Tomografia da cabeça, pescoço e coluna vertebral",Procedimentos com finalidade diagnóstica,TOMOGRAFIA COMPUTADORIZADA DO PESCOCO,Diagnóstico por tomografia
206010060,"Tomografia da cabeça, pescoço e coluna vertebral",Procedimentos com finalidade diagnóstica,TOMOGRAFIA COMPUTADORIZADA DE SELA TURCICA,Diagnóstico por tomografia
206010079,"Tomografia da cabeça, pescoço e coluna vertebral",Procedimentos com finalidade diagnóstica,TOMOGRAFIA COMPUTADORIZADA DO CRANIO,Diagnóstico por tomografia
206010087,"Tomografia da cabeça, pescoço e coluna vertebral",Procedimentos com finalidade diagnóstica,TOMOMIELOGRAFIA COMPUTADORIZADA,Diagnóstico por tomografia
206010095,"Tomografia da cabeça, pescoço e coluna vertebral",Procedimentos com finalidade diagnóstica,TOMOGRAFIA POR EMISSÃO DE PÓSITRONS (PET-CT),Diagnóstico por tomografia
206020015,Tomografia do torax e membros superiores,Procedimentos com finalidade diagnóstica,TOMOGRAFIA COMPUTADORIZADA DE ARTICULACOES DE MEMBRO SUPERIOR,Diagnóstico por tomografia
206020023,Tomografia do torax e membros superiores,Procedimentos com finalidade diagnóstica,"TOMOGRAFIA COMPUTADORIZADA DE SEGMENTOS APENDICULARES - (BRACO, ANTEBRAÇO, MÃO, COXA, PERNA, PÉ)",Diagnóstico por tomografia
206020031,Tomografia do torax e membros superiores,Procedimentos com finalidade diagnóstica,TOMOGRAFIA COMPUTADORIZADA DE TORAX,Diagnóstico por tomografia
206020040,Tomografia do torax e membros superiores,Procedimentos com finalidade diagnóstica,"TOMOGRAFIA DE HEMITORAX, PULMÃO OU DO MEDIASTINO",Diagnóstico por tomografia
206030010,"Tomografia do abdomen, pelve e membros inferiores",Procedimentos com finalidade diagnóstica,TOMOGRAFIA COMPUTADORIZADA DE ABDOMEN SUPERIOR,Diagnóstico por tomografia
206030029,"Tomografia do abdomen, pelve e membros inferiores",Procedimentos com finalidade diagnóstica,TOMOGRAFIA COMPUTADORIZADA DE ARTICULACOES DE MEMBRO INFERIOR,Diagnóstico por tomografia
206030037,"Tomografia do abdomen, pelve e membros inferiores",Procedimentos com finalidade diagnóstica,TOMOGRAFIA COMPUTADORIZADA DE PELVE / BACIA / ABDOMEN INFERIOR,Diagnóstico por tomografia
207010013,"RM da cabeça, pescoço e coluna vertebral",Procedimentos com finalidade diagnóstica,ANGIORESSONANCIA CEREBRAL,Diagnóstico por ressonância magnética
207010021,"RM da cabeça, pescoço e coluna vertebral",Procedimentos com finalidade diagnóstica,RESSONANCIA MAGNETICA DE ARTICULACAO TEMPORO-MANDIBULAR (BILATERAL),Diagnóstico por ressonância magnética
207010030,"RM da cabeça, pescoço e coluna vertebral",Procedimentos com finalidade diagnóstica,RESSONANCIA MAGNETICA DE COLUNA CERVICAL/PESCOÇO,Diagnóstico por ressonância magnética
207010048,"RM da cabeça, pescoço e coluna vertebral",Procedimentos com finalidade diagnóstica,RESSONANCIA MAGNETICA DE COLUNA LOMBO-SACRA,Diagnóstico por ressonância magnética
207010056,"RM da cabeça, pescoço e coluna vertebral",Procedimentos com finalidade diagnóstica,RESSONANCIA MAGNETICA DE COLUNA TORACICA,Diagnóstico por ressonância magnética
207010064,"RM da cabeça, pescoço e coluna vertebral",Procedimentos com finalidade diagnóstica,RESSONANCIA MAGNETICA DE CRANIO,Diagnóstico por ressonância magnética
207010072,"RM da cabeça, pescoço e coluna vertebral",Procedimentos com finalidade diagnóstica,RESSONANCIA MAGNETICA DE SELA TURCICA,Diagnóstico por ressonância magnética
207020019,RM do torax e membros superiores,Procedimentos com finalidade diagnóstica,RESSONANCIA MAGNETICA DE CORACAO / AORTA C/ CINE,Diagnóstico por ressonância magnética
207020027,RM do torax e membros superiores,Procedimentos com finalidade diagnóstica,RESSONANCIA MAGNETICA DE MEMBRO SUPERIOR (UNILATERAL),Diagnóstico por ressonância magnética
207020035,RM do torax e membros superiores,Procedimentos com finalidade diagnóstica,RESSONANCIA MAGNETICA DE TORAX,Diagnóstico por ressonância magnética
207020043,RM do torax e membros superiores,Procedimentos com finalidade diagnóstica,RESSONÂNCIA MAGNÉTICA DE MAMA UNILATERAL PARA AVALIAÇÃO DE POSSÍVEIS COMPLICAÇÕES DE IMPLANTE,Diagnóstico por ressonância magnética
207020051,RM do torax e membros superiores,Procedimentos com finalidade diagnóstica,RESSONÂNCIA MAGNÉTICA DE MAMA BILATERAL PARA AVALIAÇÃO DE POSSÍVEIS COMPLICAÇÕES DE IMPLANTE D,Diagnóstico por ressonância magnética
207030014,"RM do abdomen, pelve e membros inferiores",Procedimentos com finalidade diagnóstica,RESSONANCIA MAGNETICA DE ABDOMEN SUPERIOR,Diagnóstico por ressonância magnética
207030022,"RM do abdomen, pelve e membros inferiores",Procedimentos com finalidade diagnóstica,RESSONANCIA MAGNETICA DE BACIA / PELVE / ABDOMEN INFERIOR,Diagnóstico por ressonância magnética
207030030,"RM do abdomen, pelve e membros inferiores",Procedimentos com finalidade diagnóstica,RESSONANCIA MAGNETICA DE MEMBRO INFERIOR (UNILATERAL),Diagnóstico por ressonância magnética
207030049,"RM do abdomen, pelve e membros inferiores",Procedimentos com finalidade diagnóstica,RESSONANCIA MAGNETICA DE VIAS BILIARES/COLANGIORRESSONANCIA,Diagnóstico por ressonância magnética
208010017,Aparelho cardiovascular,Procedimentos com finalidade diagnóstica,CINTILOGRAFIA DE CORACAO C/ GALIO 67,Diagnóstico por medicina nuclear in vivo
208010025,Aparelho cardiovascular,Procedimentos com finalidade diagnóstica,CINTILOGRAFIA DE MIOCARDIO P/ AVALIACAO DA PERFUSAO EM SITUACAO DE ESTRESSE (MINIMO 3 PROJECOES),Diagnóstico por medicina nuclear in vivo
