CODIGO;DESCRICAO_CID;CATEGORIA
C578;Neoplasia maligna dos ?g?s genitais femininos com les? invasiva;Neoplasia maligna de outros ?g?s genitais femininos e dos n? especificados
C579;"Neoplasia maligna de ?g? genital feminino, n? especificado";Neoplasia maligna de outros ?g?s genitais femininos e dos n? especificados
C58;Neoplasia maligna da placenta;Neoplasia maligna da placenta
C60;Neoplasia maligna do p?is;Neoplasia maligna do p?is
C600;Neoplasia maligna do prep?io;Neoplasia maligna do p?is
C601;Neoplasia maligna da glande;Neoplasia maligna do p?is
C602;Neoplasia maligna do corpo do p?is;Neoplasia maligna do p?is
C608;Neoplasia maligna do p?is com les? invasiva;Neoplasia maligna do p?is
C609;"Neoplasia maligna do p?is, n? especificado";Neoplasia maligna do p?is
C61;Neoplasia maligna da pr?tata;Neoplasia maligna da pr?tata
C62;Neoplasia maligna dos test?ulos;Neoplasia maligna dos test?ulos
C620;Neoplasia maligna do test?ulo criptorqu?ico;Neoplasia maligna dos test?ulos
C621;Neoplasia maligna do test?ulo t?ico;Neoplasia maligna dos test?ulos
C629;"Neoplasia maligna do test?ulo, sem outras especifica?es";Neoplasia maligna dos test?ulos
C63;Neoplasia maligna de outros ?g?s genitais masculinos e dos n? especificados;Neoplasia maligna de outros ?g?s genitais masculinos e dos n? especificados
C630;Neoplasia maligna do epid?imo;Neoplasia maligna de outros ?g?s genitais masculinos e dos n? especificados
C631;Neoplasia maligna do cord? esperm?ico;Neoplasia maligna de outros ?g?s genitais masculinos e dos n? especificados
C632;Neoplasia maligna do escroto;Neoplasia maligna de outros ?g?s genitais masculinos e dos n? especificados
C637;Neoplasia maligna de outros ?g?s genitais masculinos especificados;Neoplasia maligna de outros ?g?s genitais masculinos e dos n? especificados
C638;Neoplasia maligna dos ?g?s genitais masculinos com les? invasiva;Neoplasia maligna de outros ?g?s genitais masculinos e dos n? especificados
C639;"Neoplasia maligna de ?g? genital masculino, n? especificado";Neoplasia maligna de outros ?g?s genitais masculinos e dos n? especificados
C64;"Neoplasia maligna do rim, exceto pelve renal";"Neoplasia maligna do rim, exceto pelve renal"
C65;Neoplasia maligna da pelve renal;Neoplasia maligna da pelve renal
C66;Neoplasia maligna dos ureteres;Neoplasia maligna dos ureteres
C67;Neoplasia maligna da bexiga;Neoplasia maligna da bexiga
C670;Neoplasia maligna do tr?ono da bexiga;Neoplasia maligna da bexiga
C671;Neoplasia maligna da c?ula da bexiga;Neoplasia maligna da bexiga
C672;Neoplasia maligna da parede lateral da bexiga;Neoplasia maligna da bexiga
C673;Neoplasia maligna da parede anterior da bexiga;Neoplasia maligna da bexiga
C674;Neoplasia maligna da parede posterior da bexiga;Neoplasia maligna da bexiga
C675;Neoplasia maligna do colo da bexiga;Neoplasia maligna da bexiga
C676;Neoplasia maligna do orif?io uret?ico;Neoplasia maligna da bexiga
C677;Neoplasia maligna do ?aco;Neoplasia maligna da bexiga
C678;Neoplasia maligna da bexiga com les? invasiva;Neoplasia maligna da bexiga
C679;"Neoplasia maligna da bexiga, sem outra especifica?es";Neoplasia maligna da bexiga
C68;Neoplasia maligna de outros ?g?s urin?ios e dos n? especificados;Neoplasia maligna de outros ?g?s urin?ios e dos n? especificados
C680;Neoplasia maligna da uretra;Neoplasia maligna de outros ?g?s urin?ios e dos n? especificados
C681;Neoplasia maligna da gl?dula parauretral;Neoplasia maligna de outros ?g?s urin?ios e dos n? especificados
C688;Neoplasia maligna dos ?g?s urin?ios com les? invasiva;Neoplasia maligna de outros ?g?s urin?ios e dos n? especificados
C689;"Neoplasia maligna de ?g? urin?io, n? especificado";Neoplasia maligna de outros ?g?s urin?ios e dos n? especificados
C69;Neoplasia maligna do olho e anexos;Neoplasia maligna do olho e anexos
C690;Neoplasia maligna da conjuntiva;Neoplasia maligna do olho e anexos
C691;Neoplasia maligna da c?nea;Neoplasia maligna do olho e anexos
C692;Neoplasia maligna da retina;Neoplasia maligna do olho e anexos
C693;Neoplasia maligna da cor?de;Neoplasia maligna do olho e anexos
C694;Neoplasia maligna do corpo ciliar;Neoplasia maligna do olho e anexos
C695;Neoplasia maligna da gl?dula e canal lacrimal;Neoplasia maligna do olho e anexos
C696;Neoplasia maligna da ?bita;Neoplasia maligna do olho e anexos
C698;Neoplasia maligna do olho e anexos com les? invasiva;Neoplasia maligna do olho e anexos
C699;"Neoplasia maligna do olho, n? especificado";Neoplasia maligna do olho e anexos
C70;Neoplasia maligna das meninges;Neoplasia maligna das meninges
C700;Neoplasia maligna das meninges cerebrais;Neoplasia maligna das meninges
C701;Neoplasia maligna das meninges espinhais;Neoplasia maligna das meninges
C709;"Neoplasia maligna da meninge, n? especificada";Neoplasia maligna das meninges
C71;Neoplasia maligna do enc?alo;Neoplasia maligna do enc?alo
C710;"Neoplasia maligna do c?ebro, exceto lobos e ventr?ulos";Neoplasia maligna do enc?alo
C711;Neoplasia maligna do lobo frontal;Neoplasia maligna do enc?alo
C712;Neoplasia maligna do lobo temporal;Neoplasia maligna do enc?alo
C713;Neoplasia maligna do lobo parietal;Neoplasia maligna do enc?alo
C714;Neoplasia maligna do lobo occipital;Neoplasia maligna do enc?alo
C715;Neoplasia maligna do ventr?ulo cerebral;Neoplasia maligna do enc?alo
C716;Neoplasia maligna do cerebelo;Neoplasia maligna do enc?alo
C717;Neoplasia maligna do tronco cerebral;Neoplasia maligna do enc?alo
C718;Neoplasia maligna do enc?alo com les? invasiva;Neoplasia maligna do enc?alo
C719;"Neoplasia maligna do enc?alo, n? especificado";Neoplasia maligna do enc?alo
C72;"Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central";"Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central"
C720;Neoplasia maligna da medula espinhal;"Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central"
C721;Neoplasia maligna da cauda eq?na;"Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central"
C722;Neoplasia maligna do nervo olfativo;"Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central"
C723;Neoplasia maligna do nervo ?tico;"Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central"
C724;Neoplasia maligna do nervo ac?tico;"Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central"
C725;Neoplasia maligna de outros nervos cranianos e os n? especificados;"Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central"
C728;Neoplasia maligna do enc?alo e de outras partes do sistema nervoso central com les? invasiva;"Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central"
C729;"Neoplasia maligna do sistema nervoso central, n? especificado";"Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nervoso central"
C73;Neoplasia maligna da gl?dula tire?de;Neoplasia maligna da gl?dula tire?de
C74;Neoplasia maligna da gl?dula supra-renal [Gl?dula adrenal];Neoplasia maligna da gl?dula supra-renal [Gl?dula adrenal]
C740;Neoplasia maligna do c?tex da supra-renal;Neoplasia maligna da gl?dula supra-renal [Gl?dula adrenal]
C741;Neoplasia maligna da medula da supra-renal;Neoplasia maligna da gl?dula supra-renal [Gl?dula adrenal]
C749;"Neoplasia maligna da gl?dula supra-renal, n? especificada";Neoplasia maligna da gl?dula supra-renal [Gl?dula adrenal]
C75;Neoplasia maligna de outras gl?dulas end?rinas e de estruturas relacionadas;Neoplasia maligna de outras gl?dulas end?rinas e de estruturas relacionadas
C750;Neoplasia maligna da gl?dula paratire?de;Neoplasia maligna de outras gl?dulas end?rinas e de estruturas relacionadas
C751;Neoplasia maligna da gl?dula hip?ise (pituit?ia);Neoplasia maligna de outras gl?dulas end?rinas e de estruturas relacionadas
C752;Neoplasia maligna do conduto craniofar?geo;Neoplasia maligna de outras gl?dulas end?rinas e de estruturas relacionadas
C753;Neoplasia maligna da gl?dula pineal;Neoplasia maligna de outras gl?dulas end?rinas e de estruturas relacionadas
C754;Neoplasia maligna do corpo carot?eo;Neoplasia maligna de outras gl?dulas end?rinas e de estruturas relacionadas
C755;Neoplasia maligna do corpo a?tico e outros parag?glios;Neoplasia maligna de outras gl?dulas end?rinas e de estruturas relacionadas
C758;"Neoplasia maligna com comprometimento pluriglandular, sem outra especifica?o";Neoplasia maligna de outras gl?dulas end?rinas e de estruturas relacionadas
C759;"Neoplasia maligna de gl?dula end?rina, n? especificada";Neoplasia maligna de outras gl?dulas end?rinas e de estruturas relacionadas
C76;Neoplasia maligna de outras localiza?es e de localiza?es mal definidas;Neoplasia maligna de outras localiza?es e de localiza?es mal definidas
C760;"Neoplasia maligna da cabe?, face e pesco?";Neoplasia maligna de outras localiza?es e de localiza?es mal definidas
C761;Neoplasia maligna do t?ax;Neoplasia maligna de outras localiza?es e de localiza?es mal definidas
C762;Neoplasia maligna do abdome;Neoplasia maligna de outras localiza?es e de localiza?es mal definidas
C763;Neoplasia maligna da pelve;Neoplasia maligna de outras localiza?es e de localiza?es mal definidas
C764;Neoplasia maligna do membro superior;Neoplasia maligna de outras localiza?es e de localiza?es mal definidas
C765;Neoplasia maligna do membro inferior;Neoplasia maligna de outras localiza?es e de localiza?es mal definidas
C767;Neoplasia maligna de outras localiza?es mal definidas;Neoplasia maligna de outras localiza?es e de localiza?es mal definidas
C768;Neoplasia maligna de outras localiza?es e das mal definidas com les? invasiva;Neoplasia maligna de outras localiza?es e de localiza?es mal definidas
C77;Neoplasia maligna secund?ia e n? especificada dos g?glios linf?icos;Neoplasia maligna secund?ia e n? especificada dos g?glios linf?icos
C770;"Neoplasia maligna secund?ia e n? especificada dos g?glios linf?icos da cabe?, face e pesco?";Neoplasia maligna secund?ia e n? especificada dos g?glios linf?icos
C771;Neoplasia maligna secund?ia e n? especificada dos g?glios linf?icos intrator?icos;Neoplasia maligna secund?ia e n? especificada dos g?glios linf?icos
C772;Neoplasia maligna secund?ia e n? especificada dos g?glios linf?icos intra-abdominais;Neoplasia maligna secund?ia e n? especificada dos g?glios linf?icos
C773;Neoplasia maligna secund?ia e n? especificada dos g?glios linf?icos axilares e dos membros superiores;Neoplasia maligna secund?ia e n? especificada dos g?glios linf?icos
C774;Neoplasia maligna secund?ia e n? especificada dos g?glios linf?icos inguinais e dos membros inferiores;Neoplasia maligna secund?ia e n? especificada dos g?glios linf?icos
C775;Neoplasia maligna secund?ia e n? especificada dos g?glios linf?icos intrap?vicos;Neoplasia maligna secund?ia e n? especificada dos g?glios linf?icos
C778;Neoplasia maligna secund?ia e n? especificada dos g?glios linf?icos de m?tiplas regi?s;Neoplasia maligna secund?ia e n? especificada dos g?glios linf?icos
C779;"Neoplasia maligna secund?ia e n? especificada de g?glio linf?ico, n? especificado";Neoplasia maligna secund?ia e n? especificada dos g?glios linf?icos
C78;Neoplasia maligna secund?ia dos ?g?s respirat?ios e digestivos;Neoplasia maligna secund?ia dos ?g?s respirat?ios e digestivos
C780;Neoplasia maligna secund?ia dos pulm?s;Neoplasia maligna secund?ia dos ?g?s respirat?ios e digestivos
C781;Neoplasia maligna secund?ia do mediastino;Neoplasia maligna secund?ia dos ?g?s respirat?ios e digestivos
C782;Neoplasia maligna secund?ia da pleura;Neoplasia maligna secund?ia dos ?g?s respirat?ios e digestivos
C783;Neoplasia maligna secund?ia de outros ?g?s respirat?ios e n? especificados;Neoplasia maligna secund?ia dos ?g?s respirat?ios e digestivos
C784;Neoplasia maligna secund?ia do intestino delgado;Neoplasia maligna secund?ia dos ?g?s respirat?ios e digestivos
C785;Neoplasia maligna secund?ia do intestino grosso e do reto;Neoplasia maligna secund?ia dos ?g?s respirat?ios e digestivos
C786;Neoplasia maligna secund?ia do retroperit?io e do perit?io;Neoplasia maligna secund?ia dos ?g?s respirat?ios e digestivos
C787;Neoplasia maligna secund?ia do f?ado;Neoplasia maligna secund?ia dos ?g?s respirat?ios e digestivos
C788;Neoplasia maligna secund?ia de outros ?g?s digestivos e n? especificados;Neoplasia maligna secund?ia dos ?g?s respirat?ios e digestivos
C79;Neoplasia maligna secund?ia de outras localiza?es;Neoplasia maligna secund?ia de outras localiza?es
C790;Neoplasia maligna secund?ia do rim e da pelve renal;Neoplasia maligna secund?ia de outras localiza?es
C791;"Neoplasia maligna secund?ia da bexiga, de outro ?g? urin?io e n? especificado";Neoplasia maligna secund?ia de outras localiza?es
C792;Neoplasia maligna secund?ia da pele;Neoplasia maligna secund?ia de outras localiza?es
C793;Neoplasia maligna secund?ia do enc?alo e das meninges cerebrais;Neoplasia maligna secund?ia de outras localiza?es
C794;Neoplasia maligna secund?ia de outras partes do sistema nervoso e n? especificadas;Neoplasia maligna secund?ia de outras localiza?es
C795;Neoplasia maligna secund?ia dos ossos e da medula ?sea;Neoplasia maligna secund?ia de outras localiza?es
C796;Neoplasia maligna secund?ia do ov?io;Neoplasia maligna secund?ia de outras localiza?es
C797;Neoplasia maligna secund?ia das gl?dulas supra-renais (adrenais);Neoplasia maligna secund?ia de outras localiza?es
C798;Neoplasia maligna secund?ia de outra localiza?o especificada;Neoplasia maligna secund?ia de outras localiza?es
C80;"Neoplasia maligna, sem especifica?o de localiza?o";"Neoplasia maligna, sem especifica?o de localiza?o"
C81;Doen? de Hodgkin;Doen? de Hodgkin
C810;"Doen? de Hodgkin, predomin?cia linfoc?ica";Doen? de Hodgkin
C811;"Doen? de Hodgkin, esclerose nodular";Doen? de Hodgkin
C812;"Doen? de Hodgkin, celularidade mista";Doen? de Hodgkin
C813;"Doen? de Hodgkin, deple?o linfoc?ica";Doen? de Hodgkin
C817;Outra forma da doen? de Hodgkin;Doen? de Hodgkin
C819;"Doen? de Hodgkin, n? especificada";Doen? de Hodgkin
C82;"Linfoma n?-Hodgkin, folicular (nodular)";"Linfoma n?-Hodgkin, folicular (nodular)"
C820;"Linfoma n?-Hodgkin, pequenas c?ulas clivadas, folicular";"Linfoma n?-Hodgkin, folicular (nodular)"
C821;"Linfoma n?-Hodgkin, misto, de pequenas e grandes c?ulas clivadas, folicular";"Linfoma n?-Hodgkin, folicular (nodular)"
C822;"Linfoma n?-Hodgkin, grandes c?ulas, folicular";"Linfoma n?-Hodgkin, folicular (nodular)"
C827;"Outros tipos de linfoma n?-Hodgkin, folicular";"Linfoma n?-Hodgkin, folicular (nodular)"
C829;"Linfoma n?-Hodgkin, folicular, n? especificado";"Linfoma n?-Hodgkin, folicular (nodular)"
C83;Linfoma n?-Hodgkin difuso;Linfoma n?-Hodgkin difuso
C830;"Linfoma n?-Hodgkin difuso, pequenas c?ulas (difuso)";Linfoma n?-Hodgkin difuso
C831;"Linfoma n?-Hodgkin difuso, pequenas c?ulas clivadas (difuso)";Linfoma n?-Hodgkin difuso
C832;"Linfoma n?-Hodgkin difuso, misto, de pequenas e grandes c?ulas (difuso)";Linfoma n?-Hodgkin difuso
C833;"Linfoma n?-Hodgkin difuso, grandes c?ulas (difuso)";Linfoma n?-Hodgkin difuso
C834;"Linfoma n?-Hodgkin difuso, imunobl?tico (difuso)";Linfoma n?-Hodgkin difuso
C835;"Linfoma n?-Hodgkin difuso, linfobl?tico (difuso)";Linfoma n?-Hodgkin difuso
C836;"Linfoma n?-Hodgkin difuso, indiferenciado (difuso)";Linfoma n?-Hodgkin difuso
C837;Tumor de Burkitt;Linfoma n?-Hodgkin difuso
C838;Outros tipos de linfoma n?-Hodgkin difuso;Linfoma n?-Hodgkin difuso
C839;"Linfoma n?-Hodgkin difuso, n? especificado";Linfoma n?-Hodgkin difuso
C84;Linfomas de c?ulas T cut?eas e perif?icas;Linfomas de c?ulas T cut?eas e perif?icas
C840;Micose fung?de;Linfomas de c?ulas T cut?eas e perif?icas
C841;Doen? de S?ary;Linfomas de c?ulas T cut?eas e perif?icas
C842;Linfoma da zona T;Linfomas de c?ulas T cut?eas e perif?icas
C843;Linfoma linfoepiteli?de;Linfomas de c?ulas T cut?eas e perif?icas
C844;"Linfoma de c?ulas T, perif?ico";Linfomas de c?ulas T cut?eas e perif?icas
C845;Outros linfomas de c?ulas T e os n? especificados;Linfomas de c?ulas T cut?eas e perif?icas
C85;Linfoma n?-Hodgkin de outros tipos e de tipo n? especificado;Linfoma n?-Hodgkin de outros tipos e de tipo n? especificado
C850;Linfossarcoma;Linfoma n?-Hodgkin de outros tipos e de tipo n? especificado
C851;"Linfoma de c?ulas B, n? especificado";Linfoma n?-Hodgkin de outros tipos e de tipo n? especificado
C857;Outros tipos especificados de linfoma n?-Hodgkin;Linfoma n?-Hodgkin de outros tipos e de tipo n? especificado
C859;Linfoma n?-Hodgkin de tipo n? especificado;Linfoma n?-Hodgkin de outros tipos e de tipo n? especificado
C88;Doen?s imunoproliferativas malignas;Doen?s imunoproliferativas malignas
C880;Macroglobulinemia de Waldenstr?;Doen?s imunoproliferativas malignas
C881;Doen? de cadeia pesada alfa;Doen?s imunoproliferativas malignas
C882;Doen? de cadeia pesada gama;Doen?s imunoproliferativas malignas
C883;Doen? imunoproliferativa do intestino delgado;Doen?s imunoproliferativas malignas
C887;Outras doen?s imunoproliferativas malignas;Doen?s imunoproliferativas malignas
C889;"Doen? imunoproliferativa maligna, n? especificada";Doen?s imunoproliferativas malignas
C90;Mieloma m?tiplo e neoplasias malignas de plasm?itos;Mieloma m?tiplo e neoplasias malignas de plasm?itos
C900;Mieloma m?tiplo;Mieloma m?tiplo e neoplasias malignas de plasm?itos
C901;Leucemia plasmocit?ia;Mieloma m?tiplo e neoplasias malignas de plasm?itos
C902;Plasmocitoma extramedular;Mieloma m?tiplo e neoplasias malignas de plasm?itos
C91;Leucemia linf?de;Leucemia linf?de
C910;Leucemia linfobl?tica aguda;Leucemia linf?de
C911;Leucemia linfoc?ica cr?ica;Leucemia linf?de
C912;Leucemia linfoc?ica subaguda;Leucemia linf?de
C913;Leucemia pr?linfoc?ica;Leucemia linf?de
C914;Leucemia de c?ulas pilosas;Leucemia linf?de
C915;Leucemia de c?ulas T do adulto;Leucemia linf?de
C917;Outras leucemias linf?des;Leucemia linf?de
C919;"Leucemia linf?de, n? especificada";Leucemia linf?de
C92;Leucemia miel?de;Leucemia miel?de
C920;Leucemia miel?de aguda;Leucemia miel?de
C921;Leucemia miel?de cr?ica;Leucemia miel?de
C922;Leucemia miel?de subaguda;Leucemia miel?de
C923;Sarcoma miel?de;Leucemia miel?de
C924;Leucemia pr?mieloc?ica aguda;Leucemia miel?de
C925;Leucemia mielomonoc?ica aguda;Leucemia miel?de
C927;Outras leucemias miel?des;Leucemia miel?de
C929;"Leucemia miel?de, n? especificada";Leucemia miel?de
C93;Leucemia monoc?ica;Leucemia monoc?ica
C930;Leucemia monoc?ica aguda;Leucemia monoc?ica
C931;Leucemia monoc?ica cr?ica;Leucemia monoc?ica
C932;Leucemia monoc?ica subaguda;Leucemia monoc?ica
C937;Outras leucemias monoc?icas;Leucemia monoc?ica
C939;"Leucemia monoc?ica, n? especificada";Leucemia monoc?ica
C94;Outras leucemias de c?ulas de tipo especificado;Outras leucemias de c?ulas de tipo especificado
C940;Eritremia e eritroleucemia agudas;Outras leucemias de c?ulas de tipo especificado
C941;Eritremia cr?ica;Outras leucemias de c?ulas de tipo especificado
C942;Leucemia megacariobl?tica aguda;Outras leucemias de c?ulas de tipo especificado
C943;Leucemia de mast?itos;Outras leucemias de c?ulas de tipo especificado
C944;Panmielose aguda;Outras leucemias de c?ulas de tipo especificado
C945;Mielofibrose aguda;Outras leucemias de c?ulas de tipo especificado
C947;Outras leucemias especificadas;Outras leucemias de c?ulas de tipo especificado
C95;Leucemia de tipo celular n? especificado;Leucemia de tipo celular n? especificado
C950;Leucemia aguda de tipo celular n? especificado;Leucemia de tipo celular n? especificado
C951;Leucemia cr?ica de tipo celular n? especificado;Leucemia de tipo celular n? especificado
C952;Leucemia subaguda de tipo celular n? especificado;Leucemia de tipo celular n? especificado
C957;Outras leucemias de tipo celular n? especificado;Leucemia de tipo celular n? especificado
C959;Leucemia n? especificada;Leucemia de tipo celular n? especificado
C96;"Outras neoplasias malignas e as n? especificadas dos tecidos linf?ico, hematopo?ico e tecidos correlatos";"Outras neoplasias malignas e as n? especificadas dos tecidos linf?ico, hematopo?ico e tecidos correlatos"
C960;Doen? de Letterer-Siwe;"Outras neoplasias malignas e as n? especificadas dos tecidos linf?ico, hematopo?ico e tecidos correlatos"
C961;Histiocitose maligna;"Outras neoplasias malignas e as n? especificadas dos tecidos linf?ico, hematopo?ico e tecidos correlatos"
C962;Tumor maligno de mast?itos;"Outras neoplasias malignas e as n? especificadas dos tecidos linf?ico, hematopo?ico e tecidos correlatos"
C963;Linfoma histioc?ico verdadeiro;"Outras neoplasias malignas e as n? especificadas dos tecidos linf?ico, hematopo?ico e tecidos correlatos"
C967;"Outras neoplasias malignas especificadas dos tecidos linf?ico, hematopo?ico e tecidos correlatos";"Outras neoplasias malignas e as n? especificadas dos tecidos linf?ico, hematopo?ico e tecidos correlatos"
C969;"Neoplasia maligna dos tecidos linf?ico, hematopo?ico e tecidos correlatos, n? especificada";"Outras neoplasias malignas e as n? especificadas dos tecidos linf?ico, hematopo?ico e tecidos correlatos"
C97;Neoplasias malignas de localiza?es m?tiplas independentes (prim?ias);Neoplasias malignas de localiza?es m?tiplas independentes (prim?ias)
D00;"Carcinoma in situ da cavidade oral, do esôfago e do estômago";"Carcinoma in situ da cavidade oral, do esôfago e do estômago"
D000;"Carcinoma in situ dos lábios, cavidade oral e faringe";"Carcinoma in situ da cavidade oral, do esôfago e do estômago"
D001;Carcinoma in situ do esôfago;"Carcinoma in situ da cavidade oral, do esôfago e do estômago"
D002;Carcinoma in situ do estômago;"Carcinoma in situ da cavidade oral, do esôfago e do estômago"
D01;Carcinoma in situ de outros órgãos digestivos;Carcinoma in situ de outros órgãos digestivos
D010;Carcinoma in situ do cólon;Carcinoma in situ de outros órgãos digestivos
D011;Carcinoma in situ da junção retossigmóide;Carcinoma in situ de outros órgãos digestivos
D012;Carcinoma in situ do reto;Carcinoma in situ de outros órgãos digestivos
D013;Carcinoma in situ do ânus e canal anal;Carcinoma in situ de outros órgãos digestivos
D014;Carcinoma in situ de outras partes do intestino e as não especificadas;Carcinoma in situ de outros órgãos digestivos
D015;"Carcinoma in situ do fígado, vesícula biliar e vias biliares";Carcinoma in situ de outros órgãos digestivos
D017;Carcinoma in situ de outros órgãos especificados do aparelho digestivo;Carcinoma in situ de outros órgãos digestivos
D019;"Carcinoma in situ de órgãos digestivos, não especificado";Carcinoma in situ de outros órgãos digestivos
D02;Carcinoma in situ do ouvido médio e do aparelho respiratório;Carcinoma in situ do ouvido médio e do aparelho respiratório
D020;Carcinoma in situ da laringe;Carcinoma in situ do ouvido médio e do aparelho respiratório
D021;Carcinoma in situ da traquéia;Carcinoma in situ do ouvido médio e do aparelho respiratório
D022;Carcinoma in situ dos brônquios e pulmões;Carcinoma in situ do ouvido médio e do aparelho respiratório
D023;Carcinoma in situ de outras partes do aparelho respiratório;Carcinoma in situ do ouvido médio e do aparelho respiratório
D029;"Carcinoma in situ do aparelho respiratório, não especificado";Carcinoma in situ do ouvido médio e do aparelho respiratório
D03;Melanoma in situ;Melanoma in situ
D030;Melanoma in situ do lábio;Melanoma in situ
D031;"Melanoma in situ da pálpebra, incluindo o canto";Melanoma in situ
D032;Melanoma in situ da orelha e do conduto auditivo externo;Melanoma in situ
D033;"Melanoma in situ de outras partes, e de partes não especificadas da face";Melanoma in situ
D034;Melanoma in situ do couro cabeludo e do pescoço;Melanoma in situ
D035;Melanoma in situ do tronco;Melanoma in situ
D036;"Melanoma in situ dos membros superiores, incluindo ombro";Melanoma in situ
D037;"Melanoma in situ dos membros inferiores, incluindo quadril";Melanoma in situ
D038;Melanoma in situ de outras localizações;Melanoma in situ
D039;"Melanoma in situ, não especificado";Melanoma in situ
D04;Carcinoma in situ da pele;Carcinoma in situ da pele
D040;Carcinoma in situ da pele do lábio;Carcinoma in situ da pele
D041;"Carcinoma in situ da pele da pálpebra, incluindo o canto";Carcinoma in situ da pele
D042;Carcinoma in situ da pele da orelha e do conduto auditivo externo;Carcinoma in situ da pele
D043;Carcinoma in situ da pele de outras partes e de partes não especificadas da face;Carcinoma in situ da pele
D044;Carcinoma in situ da pele do couro cabeludo e do pescoço;Carcinoma in situ da pele
D045;Carcinoma in situ da pele do tronco;Carcinoma in situ da pele
D046;"Carcinoma in situ da pele dos membros superiores, incluindo ombro";Carcinoma in situ da pele
D047;"Carcinoma in situ da pele dos membros inferiores, incluindo quadril";Carcinoma in situ da pele
D048;Carcinoma in situ da pele de outras localizações;Carcinoma in situ da pele
D049;"Carcinoma in situ da pele, não especificada";Carcinoma in situ da pele
D05;Carcinoma in situ da mama;Carcinoma in situ da mama
D050;Carcinoma lobular in situ;Carcinoma in situ da mama
D051;Carcinoma intraductal in situ;Carcinoma in situ da mama
D057;Outros carcinomas in situ;Carcinoma in situ da mama
D059;"Carcinoma in situ da mama, não especificado";Carcinoma in situ da mama
D06;Carcinoma in situ do colo do útero (cérvix);Carcinoma in situ do colo do útero (cérvix)
D060;Carcinoma in situ do endocérvix;Carcinoma in situ do colo do útero (cérvix)
D061;Carcinoma in situ do exocérvix;Carcinoma in situ do colo do útero (cérvix)
D067;Carcinoma in situ de outras partes do colo do útero;Carcinoma in situ do colo do útero (cérvix)
D069;"Carcinoma in situ do colo do útero, não especificado";Carcinoma in situ do colo do útero (cérvix)
D07;Carcinoma in situ de outros órgãos genitais e dos não especificados;Carcinoma in situ de outros órgãos genitais e dos não especificados
D070;Carcinoma in situ do endométrio;Carcinoma in situ de outros órgãos genitais e dos não especificados
D071;Carcinoma in situ da vulva;Carcinoma in situ de outros órgãos genitais e dos não especificados
D072;Carcinoma in situ da vagina;Carcinoma in situ de outros órgãos genitais e dos não especificados
D073;Carcinoma in situ de outros órgãos genitais femininos e os não especificados;Carcinoma in situ de outros órgãos genitais e dos não especificados
D074;Carcinoma in situ do pênis;Carcinoma in situ de outros órgãos genitais e dos não especificados
D075;Carcinoma in situ da próstata;Carcinoma in situ de outros órgãos genitais e dos não especificados
D076;Carcinoma in situ de outros órgãos genitais masculinos e os não especificados;Carcinoma in situ de outros órgãos genitais e dos não especificados
D09;Carcinoma in situ de outras localizações e das não especificadas;Carcinoma in situ de outras localizações e das não especificadas
D090;Carcinoma in situ da bexiga;Carcinoma in situ de outras localizações e das não especificadas
D091;Carcinoma in situ de outros órgãos urinários e os não especificados;Carcinoma in situ de outras localizações e das não especificadas
D092;Carcinoma in situ do olho;Carcinoma in situ de outras localizações e das não especificadas
D093;Carcinoma in situ da tireóide e de outras glândulas endócrinas;Carcinoma in situ de outras localizações e das não especificadas
D097;Carcinoma in situ de outras localizações especificadas;Carcinoma in situ de outras localizações e das não especificadas
D099;"Carcinoma in situ, não especificado";Carcinoma in situ de outras localizações e das não especificadas
D10;Neoplasia benigna da boca e da faringe;Neoplasia benigna da boca e da faringe
D100;Neoplasia benigna dos lábios;Neoplasia benigna da boca e da faringe
D101;Neoplasia benigna da língua;Neoplasia benigna da boca e da faringe
D102;Neoplasia benigna do assoalho da boca;Neoplasia benigna da boca e da faringe
D103;Neoplasia benigna de outras partes da boca e as não especificadas;Neoplasia benigna da boca e da faringe
D104;Neoplasia benigna da amígdala;Neoplasia benigna da boca e da faringe
D105;Neoplasia benigna de outras partes da orofaringe;Neoplasia benigna da boca e da faringe
D106;Neoplasia benigna da nasofaringe;Neoplasia benigna da boca e da faringe
D107;Neoplasia benigna da hipofaringe;Neoplasia benigna da boca e da faringe
D109;"Neoplasia benigna da faringe, não especificada";Neoplasia benigna da boca e da faringe
D11;Neoplasia benigna de glândulas salivares maiores;Neoplasia benigna de glândulas salivares maiores
D110;Neoplasia benigna da glândula parótida;Neoplasia benigna de glândulas salivares maiores
