Vigência	Município	"Qtd. Beneficiários
 A serem acompanhados"	Qtd. beneficiários acompanhados	Perc. cobertura de beneficiários acompanhados (%)	Qtd. criança a ser acompanhada	Qtd. criança acompanhada	Perc. cobertura do acomp. de crianças (%)	Qtd. criança com dados nutricionais	Perc. crianças com dados nutricionais (%)	Qtd. gestantes estimadas	Qtd. gestantes localizadas	Perc. de cobertura de gestantes localizadas (%)	Qtd. gestantes com dados nutric.	Perc. gestantes com dados nutric. (%)
2019_2	UMIRIM	6.655	6.448	96,89%	1.823	1.699	93,20%	1.699	100%	80	123	153,75%	98	79,67%
2019_2	URUBURETAMA	8.084	7.637	94,47%	2.218	2.010	90,62%	1.764	87,76%	112	199	177,68%	168	84,42%
2019_2	BEBERIBE	14.147	11.906	84,16%	3.695	2.665	72,12%	2.635	98,87%	189	288	152,38%	203	70,49%
2019_2	CASCAVEL	18.353	17.583	95,80%	4.814	4.374	90,86%	4.374	100%	230	341	148,26%	219	64,22%
2019_2	CHOROZINHO	6.275	6.167	98,28%	1.516	1.479	97,56%	1.479	100%	75	145	193,33%	117	80,69%
2019_2	HORIZONTE	9.924	7.332	73,88%	3.142	1.612	51,30%	1.612	100%	151	185	122,52%	122	65,95%
2019_2	OCARA	7.298	6.993	95,82%	1.631	1.469	90,07%	1.469	100%	76	177	232,89%	122	68,93%
2019_2	PACAJUS	13.576	10.804	79,58%	3.643	2.608	71,59%	2.608	100%	147	282	191,84%	231	81,91%
2019_2	PINDORETAMA	7.385	7.239	98,02%	1.891	1.820	96,25%	1.820	100%	94	123	130,85%	105	85,37%
2019_2	BOA VIAGEM	14.835	12.788	86,20%	3.805	2.991	78,61%	2.988	99,90%	163	206	126,38%	168	81,55%
2019_2	CANINDÉ	22.635	20.222	89,34%	5.778	4.469	77,35%	4.468	99,98%	286	512	179,02%	426	83,20%
2019_2	CARIDADE	5.767	4.885	84,71%	1.685	1.333	79,11%	1.333	100%	57	165	289,47%	155	93,94%
2019_2	ITATIRA	7.587	6.830	90,02%	1.879	1.509	80,31%	1.509	100%	97	126	129,90%	103	81,75%
2019_2	MADALENA	5.300	4.764	89,89%	1.359	1.098	80,79%	1.098	100%	47	107	227,66%	71	66,36%
2019_2	PARAMOTI	3.659	3.511	95,96%	888	818	92,12%	818	100%	38	81	213,16%	66	81,48%
2019_2	BANABUIU	4.862	4.134	85,03%	1.438	1.120	77,89%	1.120	100%	76	105	138,16%	74	70,48%
2019_2	CHORÓ	3.616	3.136	86,73%	1.026	796	77,58%	796	100%	47	47	100%	43	91,49%
2019_2	IBARETAMA	4.204	3.921	93,27%	1.161	1.054	90,78%	1.053	99,91%	65	81	124,62%	76	93,83%
2019_2	IBICUITINGA	4.488	4.356	97,06%	1.108	1.043	94,13%	1.043	100%	47	78	165,96%	61	78,21%
2019_2	MILHÃ	4.047	3.770	93,16%	917	796	86,80%	795	99,87%	49	91	185,71%	84	92,31%
2019_2	PEDRA BRANCA	12.612	12.612	100%	2.917	2.917	100%	2.917	100%	135	192	142,22%	128	66,67%
2019_2	QUIXADÁ	24.205	24.202	99,99%	6.228	6.228	100%	6.228	100%	310	524	169,03%	375	71,56%
2019_2	QUIXERAMOBIM	16.904	14.906	88,18%	4.518	3.636	80,48%	3.636	100%	210	276	131,43%	253	91,67%
2019_2	SENADOR POMPEU	6.486	5.351	82,50%	1.670	1.117	66,89%	1.117	100%	72	115	159,72%	99	86,09%
2019_2	SOLONÓPOLES	3.667	3.318	90,48%	903	726	80,40%	726	100%	39	73	187,18%	51	69,86%
2019_2	AIUABA	4.843	4.494	92,79%	1.178	964	81,83%	964	100%	45	118	262,22%	100	84,75%
2019_2	ARNEIROZ	1.633	1.473	90,20%	411	334	81,27%	334	100%	17	50	294,12%	33	66%
2019_2	PARAMBU	6.981	6.443	92,29%	1.727	1.463	84,71%	1.463	100%	82	143	174,39%	116	81,12%
2019_2	TAUÁ	9.963	9.597	96,33%	2.542	2.378	93,55%	2.378	100%	127	178	140,16%	127	71,35%
2019_2	ALCÂNTARAS	1.992	1.702	85,44%	512	358	69,92%	358	100%	20	29	145%	21	72,41%
2019_2	CARIRÉ	4.291	3.817	88,95%	1.240	1.023	82,50%	1.023	100%	51	115	225,49%	96	83,48%
2019_2	CATUNDA	3.416	3.414	99,94%	849	848	99,88%	848	100%	24	65	270,83%	43	66,15%
2019_2	COREAÚ	6.904	6.879	99,64%	1.632	1.621	99,33%	1.621	100%	75	167	222,67%	151	90,42%
2019_2	FORQUILHA	6.103	5.966	97,76%	1.525	1.452	95,21%	1.452	100%	56	144	257,14%	105	72,92%
2019_2	FRECHEIRINHA	3.874	2.726	70,37%	1.172	594	50,68%	594	100%	53	43	81,13%	36	83,72%
2019_2	GRAÇA	4.250	4.145	97,53%	1.052	1.004	95,44%	1.004	100%	46	38	82,61%	30	78,95%
2019_2	GROAÍRAS	2.362	2.293	97,08%	540	504	93,33%	504	100%	24	64	266,67%	44	68,75%
2019_2	HIDROLÂNDIA	4.867	4.147	85,21%	1.270	944	74,33%	944	100%	42	124	295,24%	111	89,52%
2019_2	IPU	12.906	12.722	98,57%	3.299	3.211	97,33%	3.211	100%	157	380	242,04%	213	56,05%
2019_2	IRAUÇUBA	8.499	8.069	94,94%	2.145	1.936	90,26%	1.936	100%	98	210	214,29%	144	68,57%
2019_2	MASSAPÊ	8.927	8.398	94,07%	2.185	1.916	87,69%	1.909	99,63%	100	223	223%	134	60,09%
2019_2	MERUOCA	3.754	3.593	95,71%	1.000	909	90,90%	909	100%	41	66	160,98%	57	86,36%
2019_2	MORAÚJO	2.740	2.740	100%	658	658	100%	658	100%	28	57	203,57%	29	50,88%
2019_2	MUCAMBO	2.765	2.457	88,86%	732	570	77,87%	570	100%	32	65	203,13%	29	44,62%
2019_2	PACUJÁ	1.726	1.622	93,97%	446	401	89,91%	401	100%	16	20	125%	19	95%
2019_2	PIRES FERREIRA	2.366	2.351	99,37%	543	539	99,26%	539	100%	19	58	305,26%	55	94,83%
2019_2	RERIUTABA	3.948	2.192	55,52%	1.106	103	9,31%	103	100%	48	112	233,33%	97	86,61%
2019_2	SANTANA DO ACARAÚ	10.027	8.745	87,21%	2.540	1.975	77,76%	1.975	100%	115	260	226,09%	199	76,54%
2019_2	SANTA QUITÉRIA	10.608	8.448	79,64%	2.669	1.573	58,94%	1.571	99,87%	70	195	278,57%	76	38,97%
2019_2	SENADOR SÁ	2.197	1.917	87,26%	588	464	78,91%	464	100%	26	35	134,62%	13	37,14%
2019_2	SOBRAL	34.337	31.492	91,71%	9.020	7.665	84,98%	7.387	96,37%	458	691	150,87%	542	78,44%
2019_2	URUOCA	3.827	3.355	87,67%	972	719	73,97%	719	100%	40	44	110%	31	70,45%
2019_2	VARJOTA	3.791	3.378	89,11%	1.232	978	79,38%	978	100%	55	128	232,73%	100	78,13%
2019_2	ACARAÚ	20.493	19.157	93,48%	5.281	4.639	87,84%	4.212	90,80%	301	515	171,10%	235	45,63%
2019_2	BELA CRUZ	8.928	8.368	93,73%	2.218	1.998	90,08%	1.998	100%	97	231	238,14%	227	98,27%
2019_2	CRUZ	7.550	7.303	96,73%	1.972	1.863	94,47%	1.687	90,55%	115	230	200%	211	91,74%
2019_2	ITAREMA	14.618	12.993	88,88%	4.116	3.336	81,05%	3.332	99,88%	213	307	144,13%	262	85,34%
2019_2	JIJOCA DE JERICOACOARA	4.197	3.930	93,64%	1.220	1.067	87,46%	980	91,85%	53	85	160,38%	64	75,29%
2019_2	MARCO	8.979	8.885	98,95%	2.526	2.486	98,42%	2.486	100%	144	276	191,67%	261	94,57%
2019_2	MORRINHOS	5.175	4.323	83,54%	1.666	1.271	76,29%	1.271	100%	63	141	223,81%	81	57,45%
2019_2	CARNAUBAL	4.154	3.966	95,47%	1.102	1.021	92,65%	1.011	99,02%	50	117	234%	102	87,18%
2019_2	CROATÁ	5.740	5.259	91,62%	1.381	1.186	85,88%	1.186	100%	56	30	53,57%	26	86,67%
2019_2	GUARACIABA DO NORTE	13.134	12.954	98,63%	3.645	3.601	98,79%	3.601	100%	190	342	180%	209	61,11%
2019_2	IBIAPINA	6.721	6.229	92,68%	1.810	1.582	87,40%	1.558	98,48%	91	148	162,64%	109	73,65%
2019_2	SÃO BENEDITO	12.996	12.989	99,95%	3.472	3.472	100%	1.820	52,42%	187	197	105,35%	184	93,40%
2019_2	TIANGUÁ	21.583	16.016	74,21%	6.178	3.983	64,47%	3.983	100%	397	413	104,03%	373	90,31%
2019_2	UBAJARA	8.124	6.993	86,08%	2.410	1.828	75,85%	1.828	100%	140	282	201,43%	186	65,96%
2019_2	VIÇOSA DO CEARÁ	19.601	18.154	92,62%	5.476	5.016	91,60%	5.016	100%	288	581	201,74%	495	85,20%
2019_2	ARARENDÁ	2.999	2.252	75,09%	775	394	50,84%	394	100%	33	55	166,67%	48	87,27%
2019_2	CRATEÚS	14.239	14.162	99,46%	3.832	3.795	99,03%	2.670	70,36%	183	370	202,19%	247	66,76%
2019_2	INDEPENDÊNCIA	7.973	7.244	90,86%	1.824	1.470	80,59%	1.470	100%	79	165	208,86%	108	65,45%
2019_2	IPAPORANGA	3.342	3.304	98,86%	835	817	97,84%	743	90,94%	38	72	189,47%	46	63,89%
2019_2	IPUEIRAS	9.844	9.266	94,13%	2.490	2.204	88,51%	2.178	98,82%	107	225	210,28%	192	85,33%
2019_2	MONSENHOR TABOSA	5.592	4.915	87,89%	1.485	1.246	83,91%	1.246	100%	74	67	90,54%	61	91,04%
2019_2	NOVA RUSSAS	6.822	5.938	87,04%	1.637	1.213	74,10%	1.194	98,43%	71	130	183,10%	93	71,54%
2019_2	NOVO ORIENTE	9.368	8.692	92,78%	2.155	1.850	85,85%	1.850	100%	113	165	146,02%	121	73,33%
2019_2	PORANGA	3.284	2.362	71,92%	929	550	59,20%	550	100%	49	78	159,18%	71	91,03%
2019_2	QUITERIANOPÓLES	5.653	5.111	90,41%	1.394	1.098	78,77%	1.098	100%	54	118	218,52%	91	77,12%
2019_2	TAMBORIL	7.664	6.464	84,34%	1.806	1.300	71,98%	1.300	100%	86	196	227,91%	113	57,65%
2019_2	BARROQUINHA	5.043	4.589	91%	1.202	1.022	85,02%	1.022	100%	75	41	54,67%	20	48,78%
2019_2	CAMOCIM	15.002	12.089	80,58%	3.867	2.753	71,19%	2.751	99,93%	197	189	95,94%	152	80,42%
2019_2	CHAVAL	4.212	3.931	93,33%	1.131	1.024	90,54%	1.023	99,90%	51	93	182,35%	80	86,02%
2019_2	GRANJA	14.522	11.685	80,46%	3.780	2.378	62,91%	2.378	100%	192	283	147,40%	213	75,27%
2019_2	MARTINÓPOLE	3.737	3.488	93,34%	948	813	85,76%	813	100%	43	85	197,67%	57	67,06%
2019_2	ARACATI	12.711	10.738	84,48%	3.144	2.168	68,96%	2.163	99,77%	164	220	134,15%	129	58,64%
2019_2	FORTIM	4.035	3.798	94,13%	914	806	88,18%	806	100%	42	86	204,76%	75	87,21%
2019_2	ICAPUÍ	5.498	4.596	83,59%	1.363	934	68,53%	934	100%	65	119	183,08%	59	49,58%
2019_2	ITAIÇABA	1.773	1.711	96,50%	409	381	93,15%	381	100%	21	30	142,86%	14	46,67%
2019_2	JAGUARETAMA	5.462	5.392	98,72%	1.311	1.293	98,63%	1.079	83,45%	50	148	296%	108	72,97%
2019_2	JAGUARUANA	9.896	9.052	91,47%	2.366	1.931	81,61%	1.931	100%	123	176	143,09%	112	63,64%
2019_2	MORADA NOVA	17.756	16.248	91,51%	3.888	3.214	82,66%	3.167	98,54%	195	317	162,56%	244	76,97%
2019_2	PALHANO	2.438	2.421	99,30%	589	581	98,64%	581	100%	29	58	200%	22	37,93%
2019_2	RUSSAS	12.879	12.446	96,64%	3.207	2.957	92,20%	2.147	72,61%	136	233	171,32%	172	73,82%
2019_2	ALTO SANTO	3.679	3.450	93,78%	925	814	88%	814	100%	44	73	165,91%	42	57,53%
2019_2	ERERÊ	1.584	1.450	91,54%	428	369	86,21%	363	98,37%	3	17	566,67%	16	94,12%
2019_2	IRACEMA	3.516	3.168	90,10%	947	751	79,30%	751	100%	42	66	157,14%	59	89,39%
2019_2	JAGUARIBARA	2.933	2.742	93,49%	761	678	89,09%	678	100%	36	77	213,89%	63	81,82%
2019_2	JAGUARIBE	7.719	7.170	92,89%	1.889	1.586	83,96%	1.586	100%	78	148	189,74%	109	73,65%
2019_2	LIMOEIRO DO NORTE	12.423	10.851	87,35%	2.900	2.238	77,17%	2.238	100%	147	250	170,07%	179	71,60%
2019_2	PEREIRO	4.647	4.421	95,14%	1.135	1.048	92,33%	1.048	100%	54	99	183,33%	90	90,91%
2019_2	POTIRETAMA	1.619	1.102	68,07%	467	251	53,75%	251	100%	19	49	257,89%	32	65,31%
2019_2	QUIXERÉ	3.927	3.926	99,97%	1.077	1.077	100%	860	79,85%	49	102	208,16%	52	50,98%
2019_2	SÃO JOÃO DO JAGUARIBE	1.314	1.173	89,27%	280	211	75,36%	211	100%	14	12	85,71%	7	58,33%
2019_2	TABULEIRO DO NORTE	6.548	5.754	87,87%	1.636	1.222	74,69%	1.147	93,86%	77	175	227,27%	108	61,71%
2019_2	BAIXIO	1.709	1.545	90,40%	416	329	79,09%	329	100%	14	33	235,71%	19	57,58%
2019_2	CEDRO	6.680	6.546	97,99%	1.500	1.434	95,60%	1.434	100%	72	140	194,44%	103	73,57%
2019_2	ICÓ	19.594	18.683	95,35%	4.913	4.456	90,70%	3.699	83,01%	239	372	155,65%	256	68,82%
2019_2	IPAUMIRIM	3.783	3.503	92,60%	986	866	87,83%	866	100%	41	76	185,37%	65	85,53%
2019_2	LAVRAS DA MANGABEIRA	6.988	6.611	94,61%	2.042	1.805	88,39%	1.805	100%	97	149	153,61%	138	92,62%
2019_2	ORÓS	7.738	7.735	99,96%	1.753	1.752	99,94%	1.752	100%	102	123	120,59%	114	92,68%
2019_2	UMARI	2.197	2.001	91,08%	530	458	86,42%	458	100%	19	50	263,16%	39	78%
2019_2	ACOPIARA	14.252	12.378	86,85%	3.263	2.475	75,85%	2.470	99,80%	153	262	171,24%	199	75,95%
2019_2	CARIÚS	4.671	4.476	95,83%	1.062	1.007	94,82%	1.007	100%	47	117	248,94%	110	94,02%
2019_2	CATARINA	2.513	2.015	80,18%	682	541	79,33%	541	100%	16	52	325%	33	63,46%
2019_2	DEPUTADO IRAPUAN PINHEIRO	2.401	2.315	96,42%	504	475	94,25%	475	100%	21	24	114,29%	13	54,17%
2019_2	IGUATU	20.055	19.734	98,40%	4.899	4.807	98,12%	4.807	100%	210	344	163,81%	289	84,01%
2019_2	JUCÁS	7.267	6.940	95,50%	1.816	1.649	90,80%	1.649	100%	87	121	139,08%	96	79,34%
2019_2	MOMBAÇA	10.713	10.415	97,22%	2.526	2.415	95,61%	2.415	100%	112	286	255,36%	255	89,16%
2019_2	PIQUET CARNEIRO	3.767	3.593	95,38%	841	759	90,25%	759	100%	35	73	208,57%	65	89,04%
2019_2	QUIXELÔ	4.166	3.965	95,18%	947	861	90,92%	860	99,88%	45	92	204,44%	70	76,09%
2019_2	SABOEIRO	3.821	3.282	85,89%	990	772	77,98%	772	100%	49	69	140,82%	51	73,91%
2019_2	ABAIARA	3.057	2.776	90,81%	805	655	81,37%	655	100%	31	95	306,45%	65	68,42%
2019_2	AURORA	6.687	6.217	92,97%	1.599	1.370	85,68%	1.369	99,93%	79	177	224,05%	162	91,53%
2019_2	BARRO	5.423	4.658	85,89%	1.323	975	73,70%	974	99,90%	50	94	188%	51	54,26%
2019_2	BREJO SANTO	12.218	12.218	100%	3.007	3.007	100%	1.767	58,76%	150	246	164%	131	53,25%
2019_2	JATI	1.961	1.779	90,72%	557	468	84,02%	468	100%	34	22	64,71%	21	95,45%
2019_2	MAURITI	12.487	10.431	83,53%	3.764	2.807	74,57%	2.807	100%	195	258	132,31%	183	70,93%
2019_2	MILAGRES	8.728	7.610	87,19%	2.084	1.551	74,42%	1.545	99,61%	107	216	201,87%	118	54,63%
2019_2	PENAFORTE	3.440	3.089	89,80%	986	830	84,18%	830	100%	65	93	143,08%	73	78,49%
2019_2	PORTEIRAS	4.564	4.542	99,52%	1.153	1.146	99,39%	927	80,89%	68	99	145,59%	61	61,62%
2019_2	ALTANEIRA	2.496	2.157	86,42%	694	509	73,34%	509	100%	35	47	134,29%	35	74,47%
2019_2	ANTONINA DO NORTE	2.602	2.127	81,74%	651	422	64,82%	369	87,44%	28	41	146,43%	31	75,61%
2019_2	ARARIPE	6.289	5.863	93,23%	1.674	1.470	87,81%	1.470	100%	94	136	144,68%	111	81,62%
2019_2	ASSARÉ	7.479	7.151	95,61%	1.766	1.609	91,11%	1.604	99,69%	81	148	182,72%	132	89,19%
2019_2	CAMPOS SALES	7.403	7.034	95,02%	1.775	1.574	88,68%	1.574	100%	92	140	152,17%	102	72,86%
2019_2	CRATO	26.689	20.409	76,47%	7.513	4.865	64,75%	4.864	99,98%	397	466	117,38%	341	73,18%
2019_2	FARIAS BRITO	5.274	4.969	94,22%	1.283	1.135	88,46%	1.135	100%	57	120	210,53%	99	82,50%
2019_2	NOVA OLINDA	5.237	4.573	87,32%	1.503	1.216	80,90%	1.216	100%	81	143	176,54%	132	92,31%
2019_2	POTENGI	2.354	2.015	85,60%	598	432	72,24%	432	100%	26	67	257,69%	47	70,15%
2019_2	SALITRE	5.694	5.484	96,31%	1.548	1.409	91,02%	1.408	99,93%	79	109	137,97%	91	83,49%
2019_2	SANTANA DO CARIRI	5.544	5.141	92,73%	1.450	1.270	87,59%	1.269	99,92%	69	159	230,43%	125	78,62%
2019_2	TARRAFAS	2.329	2.168	93,09%	589	519	88,12%	519	100%	25	49	196%	43	87,76%
2019_2	VÁRZEA ALEGRE	11.137	10.760	96,61%	2.625	2.385	90,86%	2.385	100%	128	163	127,34%	148	90,80%
2019_2	BARBALHA	14.645	14.271	97,45%	3.888	3.708	95,37%	3.708	100%	227	311	137%	215	69,13%
2019_2	CARIRIAÇU	9.375	8.724	93,06%	2.478	2.140	86,36%	2.098	98,04%	119	227	190,76%	196	86,34%
2019_2	GRANJEIRO	1.719	1.714	99,71%	445	443	99,55%	443	100%	21	35	166,67%	21	60%
2019_2	JARDIM	8.760	8.178	93,36%	2.239	2.013	89,91%	1.999	99,30%	134	203	151,49%	173	85,22%
2019_2	JUAZEIRO DO NORTE	40.111	38.216	95,28%	12.692	11.961	94,24%	6.325	52,88%	590	873	147,97%	778	89,12%
2019_2	MISSÃO VELHA	11.093	9.840	88,70%	2.923	2.362	80,81%	2.362	100%	167	257	153,89%	199	77,43%
2020_1	AQUIRAZ	16.892	6.810	40,31%	5.224	746	14,28%	745	99,87%	234	315	134,62%	221	70,16%
2020_1	EUSÉBIO	10.529	10.120	96,12%	2.602	2.400	92,24%	266	11,08%	187	190	101,60%	140	73,68%
2020_1	FORTALEZA	337.647	175.760	52,05%	100.650	27.300	27,12%	27.294	99,98%	4.191	7.821	186,61%	5.785	73,97%
2020_1	ITAITINGA	5.932	2.154	36,31%	1.849	33	1,78%	33	100%	94	137	145,74%	77	56,20%
2020_1	APUIARÉS	3.974	2.497	62,83%	1.020	250	24,51%	250	100%	40	104	260%	66	63,46%
2020_1	CAUCAIA	51.910	16.582	31,94%	16.258	1.207	7,42%	1.205	99,83%	746	995	133,38%	676	67,94%
2020_1	GENERAL SAMPAIO	2.368	1.370	57,85%	695	145	20,86%	145	100%	37	80	216,22%	72	90%
2020_1	ITAPAGÉ	10.355	5.190	50,12%	2.848	17	0,60%	17	100%	133	220	165,41%	150	68,18%
2020_1	PARACURU	9.292	5.343	57,50%	2.523	402	15,93%	401	99,75%	166	275	165,66%	174	63,27%
2020_1	PARAIPABA	8.757	7.419	84,72%	2.260	1.615	71,46%	1.615	100%	100	190	190%	54	28,42%
2020_1	PENTECOSTE	8.318	6.175	74,24%	2.188	1.006	45,98%	1.004	99,80%	100	213	213%	185	86,85%
2020_1	SÃO GONÇALO DO AMARANTE	10.839	4.454	41,09%	3.260	51	1,56%	51	100%	206	277	134,47%	182	65,70%
2020_1	SÃO LUÍS DO CURU	3.144	993	31,58%	906	12	1,32%	12	100%	42	48	114,29%	45	93,75%
2020_1	TEJUÇUOCA	5.892	2.779	47,17%	1.834	73	3,98%	73	100%	73	178	243,84%	128	71,91%
2020_1	ACARAPE	3.315	1.087	32,79%	1.062	11	1,04%	11	100%	43	54	125,58%	36	66,67%
2020_1	BARREIRA	6.316	2.761	43,71%	1.841	27	1,47%	27	100%	93	176	189,25%	75	42,61%
2020_1	GUAIUBA	5.888	2.044	34,71%	1.786	20	1,12%	20	100%	79	106	134,18%	64	60,38%
2020_1	MARACANAÚ	30.110	9.211	30,59%	9.713	348	3,58%	348	100%	556	534	96,04%	326	61,05%
2020_1	MARANGUAPE	23.526	12.277	52,18%	6.522	224	3,43%	222	99,11%	264	562	212,88%	487	86,65%
2020_1	PACATUBA	10.930	3.449	31,56%	3.551	124	3,49%	123	99,19%	127	249	196,06%	185	74,30%
2020_1	PALMÁCIA	3.239	3.159	97,53%	805	765	95,03%	765	100%	25	84	336%	47	55,95%
2020_1	REDENÇÃO	6.167	2.557	41,46%	1.826	42	2,30%	42	100%	98	167	170,41%	87	52,10%
2020_1	ARACOIABA	7.698	4.250	55,21%	2.095	70	3,34%	69	98,57%	109	181	166,06%	107	59,12%
2020_1	ARATUBA	3.902	3.594	92,11%	995	837	84,12%	837	100%	52	64	123,08%	34	53,13%
2020_1	BATURITÉ	9.890	6.374	64,45%	2.715	1.128	41,55%	1.112	98,58%	130	208	160%	126	60,58%
2020_1	CAPISTRANO	4.839	2.447	50,57%	1.408	55	3,91%	55	100%	69	135	195,65%	91	67,41%
2020_1	GUARAMIRANGA	1.207	467	38,69%	338	12	3,55%	12	100%	25	25	100%	11	44%
2020_1	ITAPIUNA	4.588	227	4,95%	1.472	2	0,14%	2	100%	64	22	34,38%	18	81,82%
2020_1	MULUNGU	3.128	1.785	57,07%	910	232	25,49%	232	100%	33	40	121,21%	11	27,50%
2020_1	PACOTI	2.795	1.211	43,33%	858	39	4,55%	39	100%	37	72	194,59%	50	69,44%
2020_1	AMONTADA	11.917	6.610	55,47%	3.711	1.270	34,22%	1.259	99,13%	205	324	158,05%	251	77,47%
2020_1	ITAPIPOCA	34.956	19.477	55,72%	9.996	1.062	10,62%	1.060	99,81%	531	903	170,06%	739	81,84%
2020_1	MIRAÍMA	3.709	2.583	69,64%	1.066	571	53,56%	571	100%	47	133	282,98%	124	93,23%
2020_1	TRAIRI	18.418	6.444	34,99%	5.847	1.111	19%	1.111	100%	305	491	160,98%	329	67,01%
2020_1	TURURU	4.642	1.339	28,85%	1.458	20	1,37%	20	100%	89	108	121,35%	57	52,78%
2020_1	UMIRIM	6.450	5.944	92,16%	1.771	1.545	87,24%	1.545	100%	80	136	170%	100	73,53%
2020_1	URUBURETAMA	6.998	3.505	50,09%	2.199	303	13,78%	297	98,02%	107	190	177,57%	133	70%
2020_1	BEBERIBE	13.569	6.632	48,88%	3.691	421	11,41%	52	12,35%	164	232	141,46%	144	62,07%
2020_1	CASCAVEL	17.104	8.243	48,19%	4.675	63	1,35%	63	100%	227	398	175,33%	179	44,97%
2020_1	CHOROZINHO	5.491	3.237	58,95%	1.444	283	19,60%	282	99,65%	63	166	263,49%	107	64,46%
2020_1	HORIZONTE	9.575	4.292	44,83%	3.011	109	3,62%	109	100%	160	153	95,63%	106	69,28%
2020_1	OCARA	7.225	6.866	95,03%	1.605	1.410	87,85%	1.410	100%	74	127	171,62%	67	52,76%
2020_1	PACAJUS	11.985	4.437	37,02%	3.485	52	1,49%	52	100%	146	267	182,88%	187	70,04%
2020_1	PINDORETAMA	7.234	6.987	96,59%	1.848	1.722	93,18%	1.722	100%	94	105	111,70%	77	73,33%
2020_1	BOA VIAGEM	12.303	3.741	30,41%	3.650	335	9,18%	335	100%	167	317	189,82%	193	60,88%
2020_1	CANINDÉ	19.870	9.270	46,65%	5.639	579	10,27%	579	100%	277	461	166,43%	288	62,47%
2020_1	CARIDADE	5.134	1.012	19,71%	1.683	44	2,61%	44	100%	59	171	289,83%	158	92,40%
2020_1	ITATIRA	7.467	6.708	89,84%	1.834	1.429	77,92%	1.429	100%	105	137	130,48%	123	89,78%
2020_1	MADALENA	5.018	3.444	68,63%	1.331	498	37,42%	498	100%	57	121	212,28%	91	75,21%
2020_1	PARAMOTI	3.598	3.333	92,63%	879	761	86,58%	761	100%	32	101	315,63%	77	76,24%
2020_1	BANABUIU	4.719	2.534	53,70%	1.399	118	8,43%	118	100%	66	131	198,48%	43	32,82%
2020_1	CHORÓ	3.410	2.277	66,77%	988	361	36,54%	361	100%	42	48	114,29%	37	77,08%
2020_1	IBARETAMA	3.270	281	8,59%	1.137	3	0,26%	3	100%	55	64	116,36%	61	95,31%
2020_1	IBICUITINGA	3.775	1.776	47,05%	1.080	29	2,69%	27	93,10%	52	74	142,31%	57	77,03%
2020_1	MILHÃ	3.737	2.756	73,75%	906	535	59,05%	535	100%	46	97	210,87%	92	94,85%
2020_1	PEDRA BRANCA	11.448	8.867	77,45%	2.716	1.398	51,47%	1.398	100%	137	190	138,69%	103	54,21%
2020_1	QUIXADÁ	20.136	8.981	44,60%	6.052	569	9,40%	569	100%	309	457	147,90%	201	43,98%
2020_1	QUIXERAMOBIM	15.133	7.904	52,23%	4.397	314	7,14%	314	100%	194	282	145,36%	185	65,60%
2020_1	SENADOR POMPEU	6.051	3.742	61,84%	1.622	384	23,67%	384	100%	72	143	198,61%	133	93,01%
2020_1	SOLONÓPOLES	3.698	3.187	86,18%	914	628	68,71%	628	100%	39	81	207,69%	41	50,62%
2020_1	AIUABA	4.311	2.504	58,08%	1.145	28	2,45%	28	100%	47	144	306,38%	136	94,44%
2020_1	ARNEIROZ	1.427	793	55,57%	399	21	5,26%	21	100%	16	33	206,25%	18	54,55%
2020_1	PARAMBU	6.032	2.922	48,44%	1.667	32	1,92%	32	100%	92	151	164,13%	123	81,46%
2020_1	TAUÁ	9.051	4.472	49,41%	2.542	82	3,23%	82	100%	118	176	149,15%	120	68,18%
2020_1	ALCÂNTARAS	1.825	978	53,59%	480	14	2,92%	14	100%	19	44	231,58%	25	56,82%
2020_1	CARIRÉ	4.507	3.168	70,29%	1.211	596	49,22%	596	100%	44	132	300%	94	71,21%
2020_1	CATUNDA	2.897	1.297	44,77%	824	24	2,91%	24	100%	38	45	118,42%	31	68,89%
2020_1	COREAÚ	5.794	2.784	48,05%	1.576	197	12,50%	197	100%	67	153	228,36%	140	91,50%
2020_1	FORQUILHA	5.282	3.079	58,29%	1.462	379	25,92%	379	100%	56	153	273,21%	76	49,67%
2020_1	FRECHEIRINHA	3.758	2.100	55,88%	1.148	322	28,05%	322	100%	61	44	72,13%	30	68,18%
2020_1	GRAÇA	3.894	2.867	73,63%	1.042	517	49,62%	517	100%	38	60	157,89%	40	66,67%
2020_1	GROAÍRAS	2.338	2.206	94,35%	524	457	87,21%	457	100%	22	63	286,36%	54	85,71%
2020_1	HIDROLÂNDIA	4.645	3.228	69,49%	1.272	450	35,38%	450	100%	47	140	297,87%	134	95,71%
2020_1	IPU	12.724	12.285	96,55%	3.227	3.028	93,83%	3.028	100%	159	348	218,87%	164	47,13%
2020_1	IRAUÇUBA	8.112	6.809	83,94%	2.140	1.414	66,07%	1.414	100%	89	199	223,60%	151	75,88%
2020_1	MASSAPÊ	9.034	7.899	87,44%	2.188	1.549	70,80%	1.549	100%	104	216	207,69%	123	56,94%
2020_1	MERUOCA	3.211	1.590	49,52%	962	22	2,29%	22	100%	46	59	128,26%	39	66,10%
2020_1	MORAÚJO	2.490	1.566	62,89%	678	232	34,22%	232	100%	31	47	151,61%	34	72,34%
2020_1	MUCAMBO	2.734	2.000	73,15%	702	319	45,44%	319	100%	32	66	206,25%	38	57,58%
